Author,Date,Rating,ReviewText,ReviewSource,IsLocalGuide,Review Count,PhotosCount,Likes,PhotoCount),PhotoURLs,HasOwnerResponse,OwnerResponse
Thượng Đỗ,N/A,,very good,Google,False,5,0,0,0,,False,
Nương Trần Kiều,N/A,,Ok,Google,False,1,0,0,0,,False,
Đạt phanvan,N/A,,Ok,Google,False,1,0,0,0,,False,
Ông Thái Lan,N/A,,"The worst hospital you need to know, even local people don't come here !",Google,True,92,129,1,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90D1W6t5kPfTxZs31NUBaAudhZNHLnLWVsKTFYB4JP5CG8jlQv00a_rPLnCKiGczkeNyg5RF0zXgCOvBdd6iNCqZAsK0iw431485PvdR303BJR9EfaSZwXLQz7SFZU1ds9tS-YB1=w600-h450-p,False,
Qui Văn,N/A,,Ok,Google,False,1,0,0,0,,False,
Đình Tâm,N/A,,ok,Google,False,1,7,0,0,,False,
nguyen tran,N/A,,Ok,Google,False,1,2,1,0,,False,
Truong Manh,N/A,,Ok,Google,False,1,0,1,0,,False,
vinh dang,N/A,,Ok,Google,False,1,0,0,0,,False,
Thiên Quân,N/A,,ok,Google,False,1,0,0,0,,False,
Tien Nguyen,N/A,,Ok,Google,False,1,0,0,0,,False,
Thị Mỹ Tiên Võ,N/A,,Ok,Google,False,1,0,0,0,,False,
Kim Anh,N/A,,Ok,Google,False,1,0,0,0,,False,
Lien Tran Thi,N/A,,Ok,Google,False,1,0,0,0,,False,
Tam Dang,N/A,,Ok,Google,False,1,0,0,0,,False,
Trường Danh,N/A,,Ok,Google,False,1,0,0,0,,False,
Hồng Thu,N/A,,Ok,Google,False,1,0,0,0,,False,
Ngọc Minh Nguyễn Thanh,N/A,,It good i want to go again,Google,False,1,0,1,0,,False,
Thiện Pham,N/A,,OK,Google,False,1,0,0,0,,False,
Ửng Phạm,N/A,,Ok,Google,False,1,0,0,0,,False,
Duong Vu,N/A,,Ok,Google,False,4,0,1,0,,False,
Truong Vinh,N/A,,Ok,Google,False,369,0,3,0,,False,
