Author,Date,Rating,ReviewText,ReviewSource,IsLocalGuide,Review Count,PhotosCount,Likes,PhotoCount),PhotoURLs,HasOwnerResponse,OwnerResponse
duchess anastacio,N/A,,"We went here for a vaccine, we were expecting that everything will be fast since this is international hospital. However, we had a little hard time talking to the nurse/cashier/guard since they know a little English to instruct us. But …",Google,True,164,100,1,4,"https://lh3.googleusercontent.com/geougc-cs/AB3l90AkwLsD_bPfzHYr_rXu_fVwudQHjr5A1MPFyW9lMTzdt8mM8QOTVH6hkQIBCdkYOvBg0-PhpZQ7d-Bup2-UBv3f6b-SpqRftv3XMepgcPpKyh2HPQNeYw3HUW-zIoD2iaEc0kTB6uKJj4Y=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90DHe-sRTSdZi5F6syCZnSki1xxU6czMDjaKnYksAUMyOqi0fHzyamJMLfq0Rr2M9BAfdBwpSIcwXiWy5iVQodBYAMt2-hiFxuFSXASXfiHDKe9j4cwz5PEoo_qeOu0JN5JT5ad1xKTdRekz=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90DkdMbYmzpefoNtBJGvowAwKlGn-Vqagj8Neu1DDdbyjT7eHLoZUroixgCAPxC76uRMzoIeyBWEbdRDbTA4SJSAkhuenNwb4OXgVdv-KKXNN1oWvu94vZoJTgNZHpOfwJSkkP_RuFkoQdc=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90Bq3USRdddvDh_ENrac1zKbB3WjCqEGiZqAKpMY5QH7aua18z-AOdfvkHtOTBvp245T5fjkKxcrmBWtRj47HhLOluq4LtQywFX-6TOljHiPhbtr6ZSdQTg41SLG339OpguPZfKH9erJ9WvW=w300-h225-p",False,
Inspired4me2You,N/A,,"January 2023
We were on holiday in Vietnam when my husband became seriously ill. The resort we were staying at A Lam organised for him to go to this hospital. …",Google,True,190,321,8,4,"https://lh3.googleusercontent.com/geougc-cs/AB3l90Cq5kzBC7GOWxIvx_hPhoUAOSdO3D6IevL31rebphlOpUE7oAU7nizt11O3gihQX7oU8vDs5fpUmMNiBByFOSvjFLgPWanhf4BzKh0b7jh_u8cG_y_UUw9furMVQ5Vg02-SM6U=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90CO34o0vd_mObRCQQ2HFnGFN8kgH8Q7NVuqxQ9RzUQXeElvO6SB3lF9bLl8YOzGq60dneacfyqh2rSgCHvTOD25SeAt5saIku2PJvZwDHJuH814Ool_aajPc_I_9tDObHMl2SiWEg=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90CsukqKQ1XYVUKzyEIIK5b_JPbMMPpjSgpzZuA768X9RMT161oqDiPZ7qMiX46dqqfRcXHFUWsecW5hnyEZvq9KksBY_wQ8fR3qIy7gneSxEiXLybxI9EALWGFd5pJ2yp-sQbY=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BLWla35FfNZ6TqTksujddLH9uHc7E56rqnXYO5Oj894J46vwskI-kpkACKPSxQVDtL9Okgz0DxgEAcsyh1q-3srQNBfMYnc8jtXQ68yujcIhUFJps7Gzr7wgcPX6Z9e0uonGXcag=w300-h225-p",False,
Trung Ky,N/A,,"The reception staff worked slowly and had a disrespectful attitude when receiving information. The blood collection staff were unprofessional; after drawing blood, it continued to flow in a stream and did not stop, but they blamed the patient for having blood that is difficult to clot.",Google,True,26,84,0,0,,False,
Quang Vinh Le,N/A,,"Great hospital!
High quality service
Reasonable cost …",Google,True,79,14,1,0,,False,
Trâm Nguyễn,N/A,,"The nurses in the birthing unit are very nice. Mrs. Soon and Dr. Linda (or Leenda, i’m not sure the correct spelling) are very very nice and helpful. Dr. Linda helped me so much. She sat with me and translated EVERYTHING for me since the …",Google,False,1,0,0,0,,False,
Vi Pham,N/A,,"Worst service ever, the nurses are super rude and unprofessional, I wish I could have get their name and show it here. The nurse was so rude and not helping at all, my mom was having stomachache and backache so bad could barely walk but …",Google,True,36,8,4,0,,False,
Lauren F. Scott,N/A,,"This is a horrible place. If you turn up, you wait hours to see a doctor. They tell you to call first, which is reasonable, but when you call and ask for English, they repeatedly just hang up on you. When you finally do get through to them, …",Google,False,7,0,19,0,,False,
Tim M.,N/A,,"Excellent hospital for delivery BUT head elsewhere for child vaccinations.

Clean facilities, large rooms, and friendly staff, at least when they're dealing …",Google,False,7,0,4,0,,False,
Alfie Q,N/A,,5 stars for the facility but 1 star for the superiorly bad service. Employees are trained to treat patients like trash.,Google,True,22,7,4,0,,False,
David Prendergast,N/A,,Massive international hospital in a megacity: no non-emergency services at all after 3pm. Lol. Good luck if you work until after 3pm,Google,True,18,0,2,0,,False,
