Author,Date,Rating,ReviewText,ReviewSource,IsLocalGuide,Review Count,PhotosCount,Likes,PhotoCount),PhotoURLs,HasOwnerResponse,OwnerResponse
Geezy Squeezy,N/A,,"Thought this hospital would be terrible, but it wasn't too bad.

Got my health check done in under 2 hours.",Google,True,62,620,0,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90BUx5Onn693KRQ2a8Vj4RU8linc2T34feqcVvt5YmwfiiHKUq5VhMCVrQzfwK_NHQZK8od3b1w3n1bkMIROWIl6hAj6g05SLHcnUl3Mhpa6XDVkJkbVQhdUoJuTRV23GzHHfIo=w600-h450-p,False,
Young Nguyen,N/A,,"The staff is very helpful, friendly and niceee, the service is very very good. Highly recommend 👍👍👍 …",Google,False,6,2,0,0,,False,
Duong Tran,N/A,,Ok,Google,False,1,11,0,0,,False,
Nghi Ngô Thị Hải (vk tín lưu),N/A,,ok,Google,True,4,0,1,0,,False,
TAN SAXCO,N/A,,Good place,Google,True,233,17,1,0,,False,
HOÀI LAND,N/A,,Ok,Google,False,16,43,0,0,,False,
Sương Nguyễn,N/A,,"My child's name is Kha Ngan, had appendicitis surgery on Sunday, June 22, 2025. Today I was discharged from the hospital. During my stay here, I felt that the doctors and nursing team here were very attentive. I didn't know what to ask, …",Google,False,1,2,0,2,"https://lh3.googleusercontent.com/geougc-cs/AB3l90DYmDikvmXCFhnxigBe_Rp7D8vBaC8NG7fAVG6f7fU3wfZSH9b0TWJ9HOwPET-4sV9bmc-AeoS-Eka0x3K_XIjUl8Ul08KVaBlXxFW2S3iqV1N9cLJFKJDCZJ3japUOuvMKHCq8w2GZXYO-=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90ACsF3IvaURokZ9zLdkRBtV5xutjvnGPpZO8jmueENWoDA4u7EntwMKuCy0Pe_upuHNPKnO4EvfqvM91LDBLq3fPrx_tyNDcC9cac2Wzq-yXhFtfpHiuQNy2a4OiyYioh0GQ4FadqLYtqE=w300-h450-p",True,Binh Duong General Hospital would like to sincerely thank you for choosing our examination and treatment services. We wish you and your family good health. Thank you very much!
Nè Ngân,N/A,,"I raised my father here for appendectomy, the doctors and nurses were very attentive and treated him well, Ms. Cuc advised that the hospital currently has a stroke emergency department, when a family member has a stroke and is taken to the …",Google,False,1,1,0,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90Am5D2r8HxQXeIzzYhYlAhnveTVr5TEWOZB2QByM5hJBWARdFO4FMzGPiJirhzi-JRgBZReL4cCrFpxiRrKzlPuUgFeGpPShIhRg1JTm2Y3_wgfYJDwlq0vTnurkdRsrKJsyRXbhdIPL_iu=w600-h450-p,True,Binh Duong General Hospital would like to sincerely thank you for choosing our examination and treatment services. We wish you and your family good health. Thank you very much!
Ba Pham,N/A,,"Bad experience at the hospital.
The hospital is large, the areas are separate from each other. However, due to its age, the rooms and hallways are old and a bit dark. In return, there is a lot …",Google,True,117,553,2,0,,False,
Công khai Phạm,N/A,,"My name is Le Hoang Nam, I was in the surgery department and had a collapsed lung. During my stay in the hospital, I saw that the doctor was highly specialized and cheerful when examining me. The nurses were attentive, enthusiastic, and cheerful when needed. I would like to thank the surgery department hospital.",Google,False,1,1,0,0,,True,Binh Duong General Hospital would like to sincerely thank you for choosing our examination and treatment services. We wish you and your family good health. Thank you very much!
