Author,Date,Rating,ReviewText,ReviewSource,IsLocalGuide,Review Count,PhotosCount,Likes,PhotoCount),PhotoURLs,HasOwnerResponse,OwnerResponse
Philip Van Der Walt,N/A,,Dr. Khang nurse Huyen Thuy and other emergency staff really helped me to feel calm this morning. I can recommend them with a smile. Very friendly and professional. Thank you so much. Cam on 😁🙌 Ms. Truc was also excellent and very professional. Thank you so much. I wish I could give you 10 Stars. 🙌 …,Google,True,11,28,0,0,,False,
alex varro,N/A,,The adviser executive in the hospital is very helpful & accommodating of the needs of the patient from admission to discharge period (Đinh Thị Nam Phương). A big thanks to all the Doctors & Nursing staff.,Google,False,1,0,0,0,,True,"Dear Mr. Alex Varro,
Thank you for choosing Columbia Asia Hospital – Binh Duong and for your kind 5-star review. … More"
Teresa Deng,N/A,,"Excellent services, friendly and cozy staffs. specially is receptionist team, they are helpful and everyone can speak English very well.
Doctors can speak English as well. …",Google,False,1,3,2,3,"https://lh3.googleusercontent.com/geougc-cs/AB3l90AwpDOv0Mo9q8XNgaGzKAxywb3oKYofT5UEUycann8yNLh5Uv_BlPurPSs4CdKKmtUMWnRAKpKPT0Ixz16_4Mb7o6hqBFOOI-xdVLPkMeosn77ekLFhD2DcWHz5kt-PVygMBkmrQQ=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90C0N3flfJChcrYgLBXRZtLAQIocUY4e5XONeL0EjTiDUgg9iqflnonK28SmHXLON6orz6V6_2ZvbIIIvzwb7kY1pppkuQguGbIGfoCz77uHie6GBfaqVgORLoN3TMT0ZqMrb_0C=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90AfiO4UP-nbPJEjuyDSnVLMhZySIlCh73P2yn4h5pT3isOgQtwllc0oDyoMeKWexxzXkwqp4HuyPYZ5yJ4QHvgx8foEEWSMI58YSObM0xTXkYEIlzEMQvwbzShvcnhJJHuN8GeZAA=w300-h225-p",True,"Dear Terasa Deng, 
Thank you for using our services and your positive sharing of your experiences at Columbia Asia Hospital Binh Duong. … More"
Jose Antonio Goicoechea,N/A,,"I was in the 3rd floor inpatient .Im very happy with everybody, they took care about me 24h, Dr. THAO and Nurse in 3rd floor were succesful and very nice with me",Google,False,1,1,0,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90AsYBUzZHjmHT2ukV8bDzXqcyCbMDjzl60gTc8GnPBx-GuqCZTT3KSCZIEoOruPQGqBWcQUvB1Q55iatJtplEg5NL9N75PrAM_n6JnlyOyUFy3NDyFkPgMZYyahczIYPBAsUR2y=w600-h450-p,False,
Danielle Bergh,N/A,,They were very friendly and professional. I had to do a medical check and they were very efficient. Would definitely come back for future check ups.,Google,False,1,0,0,0,,False,
Joachim Breda,N/A,,"Came in because I needed a checkup.

First impressions were that it was spacious, clean and seemed modern. …",Google,True,49,46,0,0,,False,
gengming li,N/A,,Gia Han very nice and helpful and supportive . She even filled out the form for me because I did not know how to handle . Very nice and I appreciate,Google,False,1,0,0,0,,False,
Zozo Prince,N/A,,"Nguyen thi hong tham
Senior staf nurse ... is bigheart. She is very good person.in your hospital
my name is abdulllah …",Google,False,1,0,0,0,,False,
J G,N/A,,Service very good. I did my health check for work permit refresh.very quick,Google,False,1,0,0,0,,False,
Nelson Yap,N/A,,"my visit was very smooth and receptionist are very friendly and courtesy, all staff are very polite and treat everyone visitor same attitude,  Emergency Dept Doctor Duong was great and very knowledgeable, he suggested  my symptoms and offer …",Google,True,23,4,1,0,,False,
Shane CCI Thailand,N/A,,"The team at the insurance claim department amazed me with the service they provided. gosh, it was super warm! even with English knowledge one team member was impressive. mostly team was very cooperative to have our claim processed and updated us promptly. I think the name was Phuong Nam. THANK YOU guys!!",Google,True,4,10,1,0,,False,
Thạch Thảo Hoa,N/A,,I am completely satisfied with my medical experience at Columbia Asia Binh Duong Hospital.,Google,False,1,1,0,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90ArrIwtpWOEtnPfmf0pfGaX-iSGAh2ZVbbAT2ycdUH3hhcL874mVA2BrcJycskwA9XMytWQwdLyCzOKUMnDPlZVYKWbQEeZkRCITWJ7h5g2KNXzeeUlaY1yDP5hTQjH_5oIr_j5=w600-h450-p,False,
detsie catipan,N/A,,"They have a good service. Ms Tam from
Customer service always been a helping hand all the time. …",Google,False,3,3,1,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90C8N7wFj84syBsJOblYc8k_k-lL7GmyqeoktURkMNFHOPuN8TCvMPJln9l2dsP9ppISzo-PZArr5FecfQB8xtVKpf4u7akbmOsMqi7ktXXqEKYgQyssbTY0X5kN1GQX0T5FqA208g=w600-h450-p,True,"Dear Ms. Detsie Catipan,
Thank you for using our services and also thank you for your compliments.
Your appreciation is considered as a motivation for our staff to try harder and … More"
duong nguyen,N/A,,"Super good. Staff friendly, happy. Best place for anyone want to take care your heal",Google,False,1,1,0,0,,False,
leisure kick,N/A,,Columbia asia binh duong hospital is a place with loads of great services and teams who works together to take care the patients who visit there. Especially the insuarance claim department has great english capabilities and very helpful team to guide and get your services done!! Thank you team for taking care of us all times.,Google,False,1,0,1,0,,False,
Yu Chun Chiu,N/A,,Good service. Doctors and nurses are all nice.,Google,False,1,0,0,0,,False,
Phillip Park,N/A,,"One of the major hospital in Binh Duong province.
Quite clean and staffs are friendly.",Google,True,469,795,2,4,"https://lh3.googleusercontent.com/geougc-cs/AB3l90AwZjGOeHm3STEiyi5j4fTdkSqrzDLIR5aXoOJU7at1oDTlgSeC0wvy1Q9KuTLefPX7ygGE8niQHRf1triI7j85fdPyygPZXQhHY0TDoq92WoUtypPuQDHsEvDSv9i4vuOMFs_cnQ=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90CPzqgbFc0qHvnK15x-TpsXyjdlwMSHZEQ4Z0OpxMQ6hAM-QaZKMsLxuXB-vN0cbwrFsJGkM7RIBcnhTFON0w5624s2_51b8bgLDnQ2ru11LXI_1cxUwsqXSHdQd_uT_nCf5F9e=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BCFCWeVGTPMnDUPBcI3JeXVPGHSYy0apmYJWQSnuNWAP8tHSN84c1uuGum51nEodKlOCDDgzFfgOBBaBAfBAvCsjU9EtCbzno60ck4ufgWiknKesBc8cPO7kmwtfiZX40ZWg7mGQ=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90DAi1yXBVkq5P-C573qBOQa6FWL-quHY7d-AnQISmT34YQHzqKgubyqTdGyy_oCJLN_k7WsL5Bly-diJYfcLauu5Hz_fYHXFlexBM8rmRLAdNPB3swCmy7tBgKAe_z0B6zABSs=w300-h225-p",False,
Kim Ngoc Nguyen,N/A,,"I had a company health check at this hospital. The location and service are excellent, the staffs are very friendly, helpful and attentive. The hospital are very clean, modern and well-equipped. I especially recommend it to everyone.",Google,False,1,0,1,0,,True,"Dear Kim Ngoc Nguyen,
Thank you for using our services and also thank you for your compliments.
Your appreciation is considered as a motivation for our staff to try harder and … More"
Charles Khoo,N/A,,"Good service, good if not working staff could converse in English to help expats.",Google,True,35,48,0,0,,False,
Nguyễn Sandrine,N/A,,"Great team!👍Always try their best to help you. If something goes wrong, they find a solution as soon as possible.
It was my first surgery. …",Google,False,1,0,0,0,,True,"Bonjour Sandrine, 
Thank you for using our service and spending your valued time for reviewing our quality of services. … More"
HENCE CHANG,N/A,,Rubbish hospital in the town. I just want yo romove the surgery thread. Ask me to check more n waste more time. I cancel the process after waiting over  70 mins... At the seat. The total is over 700k for air. A funny hospital there.,Google,False,527,0,0,0,,True,"Dear Hence Chang, 
Thank you for using our service and we do apologize for any unpleasant experience you had earned at our hospital. … More"
Patrick Llera,N/A,,Im very satisfied the service here,Google,False,1,0,0,0,,True,"Dear Mr. Patrick Llera,
Thank you for choosing Columbia Asia Hospital – Binh Duong and for your kind 5-star review. … More"
Ngoc Khanh Hang (MoonNguyen),N/A,,Thank you Dr. Cao Lac Khang and the nurse - Ms.Thanh Tien for their enthusiasm and friendliness. My Mom is always supported and dedicated guided each visit. She is getting better day by day.,Google,False,1,0,2,0,,True,"Dear Ngoc Khanh Hang, 

Thank you for using our services and We are grateful and highly appreciated for … More"
hxnn,N/A,,"They upsell services and scans you don’t actually need and even after that, the doctors (who are quite elderly) said that they can’t guarantee the medicine they will prescribe will be efficient, unless you pay for yet another additional …",Google,False,7,3,4,0,,True,"Dear ihunnie, 
First of all, on behalf of our BOD, we would like to thank you for your trust in using our services and was so happy to come back for the follow-up after that. … More"
