Author,Date,Rating,ReviewText,ReviewSource,IsLocalGuide,Review Count,PhotosCount,Likes,PhotoCount),PhotoURLs,HasOwnerResponse,OwnerResponse
С Н,N/A,,"Wonderful doctors. Thank you to Dr Minh Tuấn, Dr Thị Cẩm Hiền, Dr Minh Lý, the nurses and staff. There were no queues. Everything was well organized and comfy.",Google,False,8,1,0,0,,True,Thank you for your kind words about our services! Our team truly appreciates your support and will continue striving to provide even better experiences.
Megan Hayward,N/A,,"We stayed here for a night stop over in our way to Penang. It's about 6km from the airport in District 12. We were surprised at the surroundings but it definitely is a Hidden Gem. The resort is beautiful, a lovely pool and we had an amazing …",Google,True,31,7,3,0,,False,
Vinh Nguyen,N/A,,"Clean and good services. However, it maybe more expensive than others.",Google,True,242,235,4,0,,False,
Andrew Nguyen - English (Andrew),N/A,,Should have find another hospital. There are always some rooms for improvement.,Google,True,371,75,6,4,"https://lh3.googleusercontent.com/geougc-cs/AB3l90BUCT82GEr02fovUIwWcGOezVFf0qGlkpgAJ_2coYoeiCRHa3aYOwLQwYjxMnNMacdl1Qt_f7eEL4JjFHk3VVQK2Bk3_c1fbjk_QOlEC1l1gSNjEYI9wbvLMjPS0AQcXYZtEycQ=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90DfeRkvOeeHlK-evT7YY3Lx4W4Ns0IZsEp-r9IGTNd1AjIQZGzU1z47F7sQZclaOU0Lmo2dS6g2uzsjvWInrHy8wcFjXJWX3D7CDR1mkVnTvEYZs5YtTqs-1rSn-J3YB_vl4o7JAg=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90C_V0y2u2sOPmlOtJBcLLDFBitWzzVSw17FonrlnQd1JlTNfFc1jWEXWbJfniUGTw91nyRs1OdjEF1vsUSwVmNUMvOvFNR2OzhF_98OB3by4IzdCCWxruZ9Aw1pCpyM6bF1pL53HA=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90Dm1m17eZz7SPuCuGMTXgtq66eeT2ljfV4oJA9xlIeN6OIH810mh-lTFSwVxwAoBcDzoeVPft3BpSLVHv7Hhbh5WT3CC4W1C7N5FK1W5VX2TDTAdqfk2orjXH1noKObS7bGeKIvVw=w300-h225-p",False,
Triet Nguyen (Cris Ng),N/A,,"Terrible experience with Dr Nguyen Thi Tuyet Anh.

I brought my wife there earlier this month and she’s currently at the month of …",Google,False,3,2,5,0,,False,
林祐岑,N/A,,"I am a TAIWANESE
My wife and I lived here for birth the baby
The cost is not cheap …",Google,False,9,2,3,0,,False,
Hưng DTD,N/A,,"Built on 2007, this service hospital absolutely   satisfy client.",Google,True,612,968,1,0,,False,
Alexiy,N/A,,"This is NOT an international hospital. None of the staff can speak English beyond a ""hello"" and some poorly stringed together words. …",Google,True,29,12,1,0,,False,
Mellisa Melody,N/A,,"The rooms are very clean, although a bit small. Prices are reasonable and the service was very good. The pool has been cleaned almost everyday and there's a small bar next to the pool where you can order drinks. The food in the restaurant and drinks in the bar are very good.",Google,False,1,0,1,0,,False,
Michaelangelo His,N/A,,"My wife and I are very happy with our experience in giving birth with hang phuc hospital and the Drs and Nurse there. They are patient, kind and nice & not forceful when it comes to add-ons and provide helpful suggestions. Thank you once …",Google,True,16,10,2,0,,False,
Nono Boulangero,N/A,,"Avoid if you can.

We were prescribed a procedure, and on the day we came, it turns out the …",Google,True,26,15,4,0,,False,
Cam Hoang,N/A,,"I was here one night alone. The room was clean but small compared to the price of 1,2mil vnd. There was nothing special as it used to be the silver creek resort. The swimming pool was small. The restaurant was ok, but it took long time to serve. In general, if you need a quite place, then it is an option for you near the center.",Google,True,40,0,1,0,,False,
Nhat Ha Pham,N/A,,It was really nice! The service was a bit slow but the staff was very friendly. The price was very reasonable and the food was amazing. On the first night the air conditioner was not quite working but the staff fixed it very quickly. Overall it’s pretty nice!,Google,False,1,1,1,0,,False,
Eric Burdette,N/A,,"Overall a positive experience. Much better quality facilities and services than what is offered in state run hospitals, but you pay for it. On the downside, the English skills of the staff aren't quite up to expected standards and the place nickle and dimes you for extra services to rack up the fees.",Google,True,324,178,5,0,,False,
Minh-Phuong Vu,N/A,,"The overall service is ok. We were happy with our doctor, Dr. Hồ Nguyên Tiến, who guided us through the procedure from pregnancy to delivery and made us feel safe. Highly recommend Dr Tiến. However, my husband and I were not satisfied with …",Google,False,3,0,4,0,,False,
Tobias Schreiner,N/A,,"Very poor communication. English is not spoken here. A lot of miss communications. I expect from a “Singapore standard” hospital at least that some people speak English. A lot of things were not done to my newborn, for example hearing test …",Google,False,2,0,10,0,,False,
Yichun,N/A,,"If you don’t provide the specific treatment, you should clarify first through the phone when I was making the appointment! Not until we took our long way there and was ready for the treatment but then was rejected by you. Such a waste of …",Google,True,16,34,8,0,,False,
Caitlyn Ross,N/A,,Dr Riche over charges and does not give good service especially when you are in an emergency situation regarding birth control. Took 6 days for a response that wasn't helpful at all he barley read my email as he reccomended the EXACT medication I stated in my email was causing problems. Disgusted is an understatement.,Google,True,17,7,3,0,,False,
Fred C,N/A,,Service is ok and most of staff speak English,Google,True,525,140,1,4,"https://lh3.googleusercontent.com/geougc-cs/AB3l90CttmNY1bIVMhCX8_wKRXEjsI4DFbrHq_aPGI2PRtcUBIIoOEQwXxQYe-HecVSgIb2IDKOc4HrcUqK5SWxYlEuAdourFMO5KoiRdWLFMlMQGVCY3P513a40YIvMOCtRX0_1A7Sf=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90C6nqybSbMB_aHm2pisRueAuxvPYBdgQbW3T7lmoCDRiJwQVbiWZzTzGWaytPQefP80rEfm4d9dp8bdWNYYVSYIuI-5KfJ5pMMutCoRJANJnY7pdeCOXtml66Tp3UFdEstbGtuLsg=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BnD9c26CQ8vLKcxBT8f3IfoYHL5VYjZ9frwgHyq5EIOee5W4oqEBUbYWDpax4pRUaI4cilhgcnVwAhpbNmZKFdsvn4TOgJku5_jY-0uBPm86kCsCDjPKUM0Ui1gETgC7ZhOf7p6w=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90CKgyYoM3MMwxgWejzXdcgT9fFGDexpmLmWDK_VTUDyJnPVh1P_h6fQEU1YTAHBuRpPAN_2KG4_1jpBN3w0GeMfGDKFboD9rtlYUg2HWwwNTco12Z8-GtdCFEMsSBP7J_aoCL1j=w300-h225-p",False,
Jolie Ngan Tran,N/A,,Such a great place in city for relaxing and enjoying peacefulness to refresh mind and body. Just lay down on the bench next to the swimming pool with a cup of tea and the sound of birds. Great time here !!,Google,True,18,63,1,0,,False,
Manh Nguyen,N/A,,"The quality of doctors is going down since Hanh Phuc was acquired by Hoan My. Not only my wife but also other patients feel the same. There is a  woman had to go to Mekong to recover her minor surgery after giving birth at Hanh Phuc in April,2018.",Google,True,47,16,7,0,,False,
Cyrus Liu,N/A,,"Poor service in every way... mistakes on charged prices can be seen often... check your bill carefully...
Doctors and nurses are lacking of professional knowledges",Google,True,18,0,4,0,,False,
Huynh Phu Tan,N/A,,Good place for any mom to get birth here. Good service and an acceptable price.,Google,False,129,0,0,0,,False,
Tuấn Anh,N/A,,👌🏻👌🏻👌🏻👌🏻 …,Google,False,2,8,1,4,"https://lh3.googleusercontent.com/geougc-cs/AB3l90AIgfefWmiks45SiONsL4UjZG43qmj4gqCOCYq5ScsgAi2z0q9vYeZG5rjec1VENYE1qyqtJnSaQ7gpe4M3zsHpHdQL8JVbFrNXeXdzLxqePxSUdBoX4WLGSBAk9hLPeQznRqOv=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90B8myCHRJ7BxI6eenGZrXYiDfLvuaPzwgrGrY_gBU5dAhnkS3huhWSE-J9enHwj0d44Bf0UT7H2VkH9Xwz60Sl03B4YtAlplE03Nj5ud_3gbzQHclmw0YWFpMY6c-ZgmlrBQKKN=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90Axs36udODXVbTFa18ChrWSlcvK_vD0v2belwt67paTIK_fFh_C5M4Zn-MX4ciKnEboT8jyxmvP3J4Wk0ANsliZ32eeqWvUZfM3fxxwMsPjhw-62Ql4zdVtD5PqyYAGwg2OjRiu=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BFA6oPnvZ_NlWaTuDF_oJOgwCpw65mT7f6kXJMBfH0sqUlxa3XrZYwDtFqUwRrPBe6TevPzZmQiDSZgAl_aPHwRZTq4DIr5evdM7ut2ZFtjHBgQZ9Q-uvWGlJ2fICYWfKdN8EQ=w300-h225-p",False,
trong tao le,N/A,,Good,Google,True,112,143,0,4,"https://lh3.googleusercontent.com/geougc-cs/AB3l90DDOhsq-pmbMt4pQcZBPjlJ9U-V9um24OV3vn-oT1lxnjU4hM0fY5US8GWjjRXVn28LVsvNiAAvWl8uWAyc687vPi2lbI27UgP-D9FfhmeTisU3uumlffQj8fYC6BpXGLckupc=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BXSJlgaNLXjEJUuYR8tQslyEnRMZButtKL2i14UEE8DAy5SpKaVcVVtkF-C5WMKH7djNc6mgQopgdd4cMs6KcxUpIx8SgP8qHo2rGxlP63c5fwBNZYA9SP0jaqvhY_M7T4KbSq=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90Bdd_EtBD2_aYQVTqPRlX8dcpUCJr1-hevqFK0cbrCkoiaZavZvUdu3HEA4yLZPjPj9FLca9jA08W78G1yoR6m3mCxGMUuCUhFczrL7AG0xbvgvn_BHsd9ZmboR48fJdnbyQuY5=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90Ab48Y4NLJhqQ3P-DpLqktINzfc6fcO8qDDYdJy9-xza3MDk2qESzfHUiZnXLabaeJPVK9mIxfuWfRX9tIJtFnJVk1sVJaOmAY8tQW19lBnQZ4sDLaZKXSHDJ_iPSDzE-zXX0j8=w300-h225-p",False,
Le Ngoc Huy,N/A,,Bad services. Cant compare with FV. Nurses dont support patients.,Google,False,7,1,0,0,,False,
Bao Nguyen Quoc,N/A,,My child born here :),Google,True,421,74,0,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90BytXCgw8zMg75nbbhexYRo6Bh5964Wqfa9UlfDJ2kvtudW-8qBHRhrRFLDXtvwuCqQ8sH1Ra54KqB-dtn5HymasugqJ5xa3Hu8yd-pnQxI8Ln62XplithhHemMbIkco_aqc884=w600-h450-p,False,
Nguyễn Quang Nhật,N/A,,Park your bike at the end of the hall to avoid scratches from other bikes,Google,True,64,140,1,0,,False,
Cuong Huynh Le Huy,N/A,,"Plenty of grateful for doctors, nurses and services.",Google,True,61,75,0,0,,False,
Nguyễn Hoàng Phương,N/A,,ok,Google,False,2,6,0,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90C_SsjEXxm0HvvDPagFH0yKDjuNJDy_cT-YHjUvfYG0MTnnknMRiEJgatNkkcUyfsGVrnsKeYswqHlylvJmPK5paEmFKEE5Ilz3fIT-N_cwVGIKEytAoFicHdHoGJgdutFn57qbWg=w600-h450-p,False,
Daniel Nguyen,N/A,,A great place. Great choice for vacation and family.,Google,False,2,1,1,0,,False,
Thang Le Toan,N/A,,Good hospital in Binh Duong and HCMC,Google,True,291,454,1,0,,False,
Y Nguyen,N/A,,"Nice place, large swimming pool.",Google,True,59,981,1,0,,False,
Hải hà Vũ,N/A,,Good,Google,True,60,62,0,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90BHnt4x4AEuSDDinT8RPslRwNijdah0HGSQjIhiAfryNiGqtkNW5t67e_gFiDDqKfYCf2x3tJhBZr5QuQfT7_nNSfpKsoCM7TTT8b8j-WevGbc-ODnw3KXRTvu61-gTMRYyb6Qe=w600-h450-p,False,
Billy James,N/A,,I want to visit one more time.,Google,True,24,4,1,0,,False,
Đỗ Hậu,N/A,,Rat dep,Google,False,1,0,0,0,,False,
Dam Quang Thao,N/A,,Good place and nice staff,Google,True,143,75,1,0,,False,
Maimy Tran (Violin),N/A,,Spending most of the time for waiting 😥 …,Google,True,8,9,5,0,,False,
An Phuc Thien,N/A,,Ok!,Google,False,272,95,1,0,,False,
thang nguyen chien,N/A,,Ok,Google,True,22,39,0,0,,False,
tini Marriott,N/A,,Good Hospital and good service👍👍👍 …,Google,True,13,34,0,0,,False,
Hiep Hiep,N/A,,Good.,Google,True,77,22,0,0,,False,
Thanh Tuan,N/A,,Good.,Google,True,8,21,1,0,,False,
Nguyễn Đạt,N/A,,Ok,Google,True,154,73,0,0,,False,
Le Hao,N/A,,Good,Google,False,2,0,0,0,,False,
GH2 FURNITURE,N/A,,Clean and tidy!,Google,True,42,493,0,0,,False,
Tung H,N/A,,Ok,Google,True,49,50,1,0,,False,
NGUYEN TUNG LAM,N/A,,Ok,Google,True,315,162,0,0,,False,
T Master.,N/A,,Ok,Google,True,39,7,0,0,,False,
haminhthong ha,N/A,,"My job, my life!",Google,False,4,5,0,0,,False,
Binh Dao Van,N/A,,Good,Google,True,30,23,0,0,,False,
Tứ Nguyễn,N/A,,Good,Google,True,145,139,0,0,,False,
Vu Pham,N/A,,Perfect service,Google,True,30,19,0,0,,False,
Nguyễn Dương Anh Khoa,N/A,,well,Google,True,110,0,0,0,,False,
Trinh Nguyen,N/A,,OK,Google,False,10,0,1,0,,False,
BIN KA,N/A,,Good location,Google,True,274,562,0,0,,False,
Anthony Hoang Nguyen,N/A,,Good services,Google,True,183,737,1,0,,False,
Vu Tran,N/A,,Peaceful place,Google,True,244,204,1,0,,False,
jean-marc BROQUE,N/A,,Good hospital,Google,True,20,0,1,0,,False,
Mr Why,N/A,,"Happy Place,",Google,True,33,108,0,0,,False,
Thao Phung,N/A,,The hospital is very nice and clean. The price is a bit high but it is very suitable for children to go for medical examination and treatment here.,Google,True,81,459,0,4,"https://lh3.googleusercontent.com/geougc-cs/AB3l90DT9u_OQdtNi4eSxQrvhijZ_atC1nUmOx9DVDAgWNXZ8Ec3brbA5mdceYw65OYO6YFlwZynCIVaJzwG5jcF0-tQxZE3hjSlOjVwFjg_rdQ-2ZdwL-1y8EGzWfeZlPx3PFuRuNlMyw=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BXcJyaqepN3gS_X3tBYyJCM6yFCLVP1IG6F0M3y8NraoboIlnc2wgzRi_6ZQD0CqhE63WrUG_Ul6GNsYkCuSVsQ_yNwSU3fWVPsAOvEuBURO0_9vJ0MelcikJAEkXR3QlvgvZP=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90C4lXSVHelBSrstCi-VCdLIT0iuzxkZBxkznGJ2Qkuc-rM9dHvXc2lgQJninbLseBcEzUHz6b9EaEqnRcAQ6nV08T6kYrmk3pHKA-5s4x7GVOWkkcfyzSe7sBudVyMxjan3aTcr=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90CmkxLmkfU0REWKbBt6QfB__SYcbEseMR618aRrhoTrGASaFrIH78O4uQloiCNx_xsNk3dQX4pSz9VDVNemCYxMXT-zXqIEB90P_UAuzAlR01nhEM3RBwaEQO8deHhqJDdbqg-Tfg=w300-h225-p",True,It's great to know you are satisfied with our service! Our team will continue to strive to provide the best customer experience. Thank you for your trust and support!
