Author,Date,Rating,ReviewText,ReviewSource,IsLocalGuide,Review Count,PhotosCount,Likes,PhotoCount),PhotoURLs,HasOwnerResponse,OwnerResponse
Ngô Đình Hiếu (HY-77),N/A,,Ok,Google,True,342,226,0,4,"https://lh3.googleusercontent.com/geougc-cs/AB3l90D61uLTZykyDnJGo9tI59x7_45sZriz-jfKHfekGqonma7H_j2wGwtD5NmGSFhS77nJLClinkNANxD7QYJ2Y0WC9St6y4BdaPdcLXsblJlPd5uM3ycpfUuRGGUZqKqWoXXgy-h4=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90DqDWvKtOOcKjrhdmjBa3u_-qIsp8DeJNsAApZpF7Gpg9Szpu28PkA55wm19Q_P8lhj8eXkSaGqkwIPIdJRcdJxT6c66KMiwnsb89GsX3ejGyRkVGF6CLg0xBAsrkH_DApdoqw=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90CnwkpZuFVjW8-FYgsDYQAvholzUAlNQFUr5JCe58mmDK2-qnoc70YJ4bvFOM-nZB4p7aMRLxGSHr_uYeg94nAhEwhZHoRVWoJ56SDMVceAVvE9fejQzZZ6N879CRM-GAb3-tR0=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90AurqiDR8Ug2dVqTb-w54UwSWcU21_MLRDwD1v-PFwUDWZcav01LbIh_UQSHWBAHSZcb_LCDC70paHYJVQt_afowvqqSmdnn2E1qQOxwkiQPeTJAuv9KkEVcCI42IZ8a7FDNKk=w300-h225-p",False,
Tâm Lê,N/A,,Good service,Google,True,100,130,0,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90CCg6rX9YhwT5osfA_tV2D0w05UIckWbg5FEsK-FTEdu-YlbvDHPp-KrpIbILbmXSrIjiXmiJCIaEPd9utF0aP0-lWkPzirMQ7a-u3jzXKbiMd6cJAqezWtMc4VU4SIBWK3dI95xg=w600-h450-p,False,
An Phuc Thien,N/A,,Ok!,Google,False,272,95,1,0,,False,
Dương Ánh (Sunshine Nguyen),N/A,,Good,Google,True,41,678,0,0,,False,
SƠN TỬ TẾ,N/A,,Good,Google,False,67,132,0,0,,False,
35.Đoàn Thiên,N/A,,ok,Google,True,21,0,0,0,,False,
Giang,N/A,,Ok,Google,True,22,0,0,0,,False,
Hero gaming,N/A,,Ok,Google,True,19,0,0,0,,False,
Minhphu Tran,N/A,,ok,Google,True,162,76,0,0,,False,
Phạm Trí Dũng,N/A,,The hospital is airy and spacious. Enthusiastic and friendly staff. Parking is free and there are separate paths for wheelchairs.,Google,True,23,10,0,0,,False,
Vân Trần,N/A,,"The hospital has a spacious, clean and beautiful campus. My family member with gastritis and colitis went for a check-up and endoscopy here and was very satisfied. At first, when I heard about endoscopy, I was very afraid of the pain, but …",Google,False,1,2,1,2,"https://lh3.googleusercontent.com/geougc-cs/AB3l90AUEUysyINKdEQ--bq2jRVs7VV1HhEmFZozQKsd5oYzbiljHnglWyhdWqz2NXERclSEeUmON0M9sAtdDlmt9oC9_IRa2r0xRKcJNZD5AdFhDhCJeHcnoVvxL0zF7yRXyieYVTOq=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90DwJPKXcF8l1I4Dpqz0h0QJ-FOxN5hmlPZqIhJF9ZBFe-B6IQ7n9MUrW5Qp9CJTwND9mUhgMmF1RP6ecLU2MeYozSHLHkUcm_xm4y8p0-o_AnHPSFKRA5zd0xe85sjA3tVA5W5_=w300-h450-p",False,
Tuyết Thái Thị,N/A,,"I have been examined at the hospital many times. The hospital is clean, the staff is enthusiastic, and the machinery and equipment are modern",Google,False,1,3,0,0,,False,
Nghi Đông,N/A,,"The hospital is clean and airy. The testing area is very beautiful, neat, clean, with 3 blood collection tables so it is very quick and has little waiting time. The paraclinical area is easy to find, and there are staff guides in the support areas.",Google,False,1,1,0,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90D4Jq-qTKnoLvJsrVbdgZW8AGycLUnnQ-0yQ-PXqKFpewS8shLmGdQgpWOcfL0pAD_t2Qf1ainsfOX3a6XbQfmUrym3urntlpLNBEkDZaPvdp6BImxD-gcu0a_KcSVS373dw6ORgw=w600-h450-p,False,
Hữu Thế Lương,N/A,,"The hospital is airy, clean, has a place for children to play, and the medical staff is very enthusiastic and dedicated.",Google,False,1,2,0,2,"https://lh3.googleusercontent.com/geougc-cs/AB3l90A4ogPhVHybqWu9jpcZZ_C4OK0BF1jyFCbim1LvS-KiR0Jnq34Tn-6ksFxXi4WhiR2D5w-74Ea_hDFAdOdgMDARyq-BkJ3ztm9aqvgL17oP0kxrAOfARrjmk9KecUlmPzoqTQxK=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90DdOGjngE3l1EYL1mMmpW27OEWp-bmML9VUOo046Q-fIRoRqnLAzfmbS674pxyjhHgHZNPwIV0jK8jHwEoREE0EjV46J0Oa0OosqnzDE3IpfLXhXMRF4or21uREHdNTAjIavcs=w300-h450-p",True,"Thank you for sharing your positive experience at the hospital, this is the motivation for us to continue our efforts to bring better service quality to you. Hoan My Binh Duong Hospital would like to thank you."
Tâm Phạm thị,N/A,,"I had a wonderful experience giving birth here? The team of doctors and nurses are very friendly,
The rooms are spacious and very luxurious. …",Google,False,1,5,1,4,"https://lh3.googleusercontent.com/geougc-cs/AB3l90AScleinDmsWF5JnCdQtWecQXSdWju-HSgEOlQtgF6--xvAbv8p_xEOAdaoJFqKldJrlFoGeLZK0uuBKmPbG4V6vQ-fGrogAl10wJfs3GjZ-LimE36rYYveDP-Cs97r1oWRZ4CPcQ=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BSMoCasQMCKfXJbg2mvI1muYUHWbCM_qgRjp2w9fZVrk56asCFTugYTzCaVPEVsisRZIC5OiGiJiersU4Pg6RNvVW0DTAsrkoGKI-XfttW9NEgrVXov7yPy6Cf35W_6BLf4Hj7=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90AqUEXcC0kvZ6PJ25yvGeMdfJeIZG4ZxuAFG-vQkINrjOXDbZ7V2hHYkNAWIDriNrTD17JcJh7FUPT-2MzndoEoPoU7KalEFFK1oWGJMQRixk1mrr82DPTsukuddUWMsDIf3O_duw=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90Bk5BeF09JB1y3Tci_-Rtj3GizKeOWVgUQjZ1dcBRYD83XA0Y30zwt4x5VDUJcHPpA366xx4EQ48nIZladcaw6rDXruUW3iUI6lP1D_-9suduWnjH1FNUlkvpJXQsr-sfTKXE8=w300-h225-p",True,Hoan My Hospital would like to thank you.
Phương Anh Hồ,N/A,,"The hospital has birth packages and clean, comfortable delivery rooms. Attentive care service. Pregnant mothers should consult and choose! There is currently a very attractive birth package promotion program!",Google,False,3,2,0,0,,True,"Thank you for sharing your positive experience at the hospital, this is the motivation for us to continue our efforts to bring better service quality to you. Hoan My Binh Duong Hospital would like to thank you."
Ken Nguyễn,N/A,,Good hospital! Doctors and nurses are good but the facilities are not enough and there are still some things that are not modern (like having talented people but not being able to use them). I suggest that the central health department can …,Google,False,4,2,0,0,,False,
Phượng Võ Thị,N/A,,The hospital campus is clean.. the emergency department staff are extremely welcoming.. a reputable place to choose when needed ☘️☘️,Google,False,1,1,0,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90AQ9r14NyHF0fH_K1sGlo1iYbPudKqdauZhC_Riop0adC71jhntDkTVW8j-9LUeJxTHIJqg1rm766pvL2nbRW8PT1v3eFJxCFtb7EjfLUW8tBaomq35tsBx3jyeXMOWIV9qK1EtmQ=w600-h450-p,False,
nguyen thi thuy duong,N/A,,"Asked to make medical records and submit them to the insurance company, everything was fine, but they came back without asking for more, but they didn't even bother to print them, talking about it for days.  People didn't know, so they asked and now they talk like they have no responsibility.",Google,True,10,26,2,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90AhVT1Odd-mkVAZNCT58hnMPtEpnT07KDJ5E_w2YIt3ENEum4Tsk8OnJPJ5eta3qJo13HtGXEURe4YC_iVXsC4h6sCn4p9HArN2k_DrYUQdCkPZDS1ipYxSgz_D2mpv8-liR_xD=w600-h450-p,False,
Y Nguyen,N/A,,"Every time my family needs any medical examination, I come here, and the dedicated service from the doctors to the security guards are always enthusiastic. Going for a checkup is very well advised, and here it's faster than other hospitals, you don't have to wait long, and the price is also reasonable.",Google,False,1,2,1,0,,False,
Chau Ta,N/A,,"UNQUALIFYING PROFESSIONALISM
Just let my wife give birth naturally. Minh Thuy's mother. Date of birth 6/27/2025. …",Google,True,13,16,0,0,,True,Hoan My Binh Duong Hospital sincerely thanks you for your constructive contributions. The hospital would like to acknowledge and improve soon so that you can have better experiences in the future when using the services at the hospital. Wish you good health
Hang Hoang,N/A,,I am a patient who has undergone treatment at Hoan My Binh Duong Hospital and would like to share some sincere feelings from the bottom of my heart. …,Google,False,3,0,0,0,,False,
thang van,N/A,,"The hospital is clean, the medical staff is cheerful, I have a relative hospitalized here, the doctors and nurses are very enthusiastic, the price is also reasonable.",Google,False,1,1,1,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90DfoejUmgRo0gUT8tza_45dZagBVXNrnQTvyAX-aqwzNsOqebxvJEqENMFiD50lh1612mOmwA_RmNo_mJd23bSCftPvVmfD1iZ8Bm44gqPHtMhIZll1gP23ZX3H0ZB0cr11o33N=w600-h450-p,False,
Phuong Pham,N/A,,"The hospital is clean, the staff is enthusiastic, there is a small canteen, a bit expensive. There are not many places selling food in front of the hospital gate. If you need porridge when you are admitted, it will be available at 6am, and by 6:20pm the porridge is gone. There are many wheelchairs, and places for wheelchairs to go.",Google,True,6,19,4,4,"https://lh3.googleusercontent.com/geougc-cs/AB3l90C5vFskkuR_VkW42j-gGkNIxkLlydNySdsiBSxjco1KRLZoiXl8Ne5NLWbNdOYoUCwjiehyPE2UzuX18mPZIZL4tUP52zrUvFjWGHFtbgp3GLbuSDgUIbaxjVp66La8ecnVL8BY=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90CjsGIjj_C1Irr00PTiJlUZD3WZoGQpiEvTORjSmlKrRqZfQbi4WdwF_c_wesdtorBrTBXBbWp6EQNlVNGHIK3It67TKyBL_FdyNhYssetixIO1N5TZ_l9-9CMDFBV9YK5N3X_xRA=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BJk6LmOeyQv3yoW-59M6Znb9BZWW6wrXuDp9Uug3JpuWuSWucXxbNZznQj_1SXR6FIOYHUNisSNjCw7c7-0ZNuIiTOKBUA_3fp7k12OJiWEq3NGdiciDHYTnC2hwFlAhXFzqc=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90D_nxXGm1TqUulrI5Zvw5NgnRMifKuw08cusJY5xME2GbiXqYyqDeD3bfkWkglcAAjYMwqbqd93M5w3emHR5s12y9eo1c7Gn7JW0FrdyFiaNW5GKs-9qw31sdkJT7e5-wICe34K=w300-h225-p",False,
Tuấn Nguyễn Văn,N/A,,"Bv airy ss
The ss hospital's house is fragrant
Advanced equipment …",Google,False,1,0,2,0,,True,Hoan My Binh Duong Hospital sincerely thanks you for your constructive contributions. The hospital would like to acknowledge this and will make improvements soon so that you can have better experiences in the future when using services at the hospital. Wishing you good health.
Hieu Tran,N/A,,"I just took my wife in to give birth and the follow-up visits found the service and doctors enthusiastic, cheerful and attentive, but many times I went to the hospital cafeteria and saw that everyone served very rudely. After the customers …",Google,False,1,2,0,2,"https://lh3.googleusercontent.com/geougc-cs/AB3l90DehQDN8PnCtLcMc-572qhFALF4wBLy04RxeMYlyHYQ8CIFNOFoywTRz2k50_e4_Ut0Y65ObMdKi3aEjyHLHnySzwuwIqzRNkQF6pi7VpFMSFpx5C9ZBIku_GZrbcVn8caUEtLlRy_hG_ii=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90AObox3P3erBz-1zh1yDSAElWL65n0xAjZZrayetMJBmCqiwtGpkybR3jLuKH3AJ8F4UY3ca4ggvzMlUaDhTz_-b4I3IkcQYagKbllZ8BJvr9c8u2VLY_0krKYCTT62o1czo4yVBRUwzwA=w300-h450-p",True,Hoan My Binh Duong Hospital sincerely thanks you for your constructive contributions. The hospital would like to take note and will improve soon so that you can have better experiences in the future when using the services at the hospital. Wish you good health.
Quy Bui,N/A,,"The process is too cumbersome, there is no consistency between the hospital cashier and the health insurance cashier, the patient went to the general surgery clinic but had to go to 6 different places to get the stamp. I hope the hospital …",Google,False,2,0,1,0,,True,Hoan My Binh Duong Hospital sincerely thanks you for your constructive contributions. The hospital would like to acknowledge and improve soon so that you can have better experiences in the future when using the services at the hospital. Wish you good health.
Trịnh Kiệm,N/A,,"Formerly Van Phuc 1 Hospital, now Hoan My Binh Duong Hospital belongs to Hoan My Medical Group, a suitable place to choose peaceful birth packages for your wife and children. …",Google,False,1,9,5,4,"https://lh3.googleusercontent.com/geougc-cs/AB3l90DZMMkWlMYAjpWzFc6aPfAgoLMKdH15c-vu1L_9BM7HtokwHxJkMM4v4GQsUJ59m0rjE7jT1fX4Ma5XGScQt3nwreZIBVODE8Xz-png5upjOaF7t8qufRnAsgpEiZPVcololIUS2w=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90ATxvhxNrhwQhRLgr7i4Apgm6EbhtCt9rNUb4LObfLqYrSzyrnEN3NPE3YgiU5dLV_wLPyz7gx1_-JA7BA89qvyGqjLfTw5NATW60y3VLymhiTwEnbInPWPCXcF1hx6vOge_pii=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90A_eAWdzU7fo2A7CJEJpXSMgBWVGYjn-g8YoK00ebZd_mW1LGL2NSWPZtbdyS1I60iTKJFQIAcTwYaDbBxLJ2oSkpAf2Z8oTZulN67Wpp-xST2o23BlP2GMNNGuIaw0rz9u65MgJA=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BxdLCNG7AXSLxJ3BBdMFK_FvFPHS7dPoYLZ0RtWTUAqxIB6jeYHTPk4J7PGUc0oCLY3kaWa2_-Enc2Weux17OK7Q8VZpxh4ejFSCIQiWOseI73JPdrELyU8fH0-LCnhk4f1QBP=w300-h225-p",False,
Yến Nguyễn,N/A,,"I just experienced the delivery service here. The doctors and nurses are enthusiastic, gentle and thoughtful. The rooms are clean and comfortable. The meals are delicious. Thank you to all the doctors and nurses at the hospital. I wish the hospital to develop more and more.",Google,False,1,0,0,0,,True,Thank you for sharing your positive experience at the hospital. This is the motivation for us to continue to strive to bring you better and better service quality. Hoan My Binh Duong Hospital would like to thank you.
first name first name,N/A,,My house is 100km from the hospital. Once I had a headache and stopped by the hospital for a check-up. I didn't expect the hospital to serve me so attentively... I give it 5 stars.,Google,False,1,0,0,0,,True,"Thank you for sharing your positive experience at the hospital, this is the motivation for us to continue our efforts to bring better service quality to you. Hoan My Binh Duong Hospital would like to thank you."
Thanh Cường Võ,N/A,,"Spending tens of millions to stay in a private hospital hoping for a good service environment, but the service quality and service attitude are no different than having to beg, a big hospital but being stingy with every piece of toilet …",Google,False,2,1,1,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90DaR3-WaEZ6qhtdQeO64X0Jler9ftERczPblxSkBDX467tfD61fcqwrd4FjDVqDq9Zcvje9tAYG-b03IkgvqpUO5dYLf0ttOVMism-TlLk8qGhihIlDmU6OdShwK31XkpBwIfg-tC9w5szL=w600-h450-p,True,Hoan My Binh Duong Hospital sincerely thanks you for your constructive contributions. The hospital would like to acknowledge and improve soon so that you can have better experiences in the future when using the services at the hospital. Wish you good health.
1990 thieukavin,N/A,,"Have visited the hospital many times. Spacious, airy, quick examination without long waiting. The doctor gives enthusiastic advice. Will continue to visit here.",Google,False,1,0,0,0,,True,Thank you for sharing your positive experience at the hospital. This is the motivation for us to continue to strive to bring you better and better service quality. Hoan My Binh Duong Hospital would like to thank you.
Hồng Ngọc,N/A,,The hospital is airy and clean. Enthusiastic and friendly consultants.,Google,False,1,1,0,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90DVRg4RD4VbWEJQTm-jA2zA1YOCazynKeBR7nNj-hUfDcvbqBMBKTM9pN9UZXlRgk9ETCnbP_GHD7xbKMmcD2P3Ipsh6R0N-2UO-pMUFqHNzTnlo1irWldIS0QBGeSXksdlUZA=w600-h450-p,False,
Tiên Nguyễn,N/A,,The hospital is spacious and airy. Enthusiastic and welcoming staff. But you should change the TV screen in the fetal ultrasound room. I waited a whole month to see my baby's face but the screen was blue and I couldn't see anything😭. We …,Google,False,2,0,0,0,,False,
Nhung Đỗ Cẩm,N/A,,"⭐⭐⭐⭐⭐
I am very satisfied with the service at Hoan My Binh Duong Hospital. Professional and dedicated medical team, modern equipment and quick and effective medical …",Google,True,14,29,0,0,,False,
oanh hoang,N/A,,The hospital has dedicated and cheerful doctors who examine patients. The tour guide is very attentive. The space is clean and airy. Will recommend relatives to come for examination at the hospital,Google,False,1,0,0,0,,False,
Trúc Anh Nguyễn,N/A,,"Regularly go to the hospital for check-ups. The medical examinations are all very good. The facility is clean and airy. After paying the payment, you will receive the medicine immediately without having to wait long. If you have any questions about medicine, the staff also explains wholeheartedly",Google,False,1,0,1,0,,False,
Quỳnh Như,N/A,,The hospital is clean and airy. Doctors and medical staff are enthusiastic.,Google,False,1,1,1,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90CJnXKvS6VdGjy9ayS7vUfRZdDVDdxB-xUs8CrwDua9eMoRs2ckSZxDs4F0dldaVW3Sl9sYq1l1Gz0lKOjwA3k3Y27avId0uvkxNi-Qfhx00XFuog4JbU0U8xOH6_Vrmmpa=w600-h450-p,False,
Phượng Lê,N/A,,"The hospital is clean, the doctor gives enthusiastic advice.
The results are also quite fast. Health insurance cards are applied.
There is a car park. …",Google,True,21,80,5,4,"https://lh3.googleusercontent.com/geougc-cs/AB3l90BBjCXZ2ojV9TDFdLWes6MZ1TGqlt7pGbBDVOX6Aq3LoiI7r4FLAQWBTm5e3gWVtLNbGxhRCiYOGIwc-0_ZHuPucSb9606hBuR-NLSQGwtwN3QlxHO2XKE_l0PizUohuQrVUQ=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90CXhcwFaz_X0ZAGrl-kvIi0zNuF-T2cbssnbc7KTK6a8xf3cQFr9j4HaiIIXMHLguwogefAuT1aUdt34Vs6XcNf975Vr5x8WVb3wyyU4i9kz2TEGlvTKVBAkducZAvyNx3890lGsw=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BSVX9n_oJMXGB35OFmhx5IBre_N5Z7O59CDy81deE2vXG7KDHvSwWSXvxD9YI51PlXQSDGnt0V3DOiPfu0fuSCOS7UiOd5fY3mvoFWXGmfzLCY-Ouz6EzeCssIfeiCEqONg2sg=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90CgXWYdQyWQSzZnezqFlbJo7Cqo6DLqkGEAmguKQQESAzojjoxlcFOTg6eacTEosSzNR3qmZEhB3C3-OtWgxTRqdJYCRIknnprFQTGH9POQbJKJnSmu6QMvuRQxgrb2hxLWMou7=w300-h225-p",False,
Hung Nguyen,N/A,,"My wife just got discharged from the maternity ward. The doctors here are dedicated and the nurses are enthusiastic. If I have another baby, I will come back to the hospital again.",Google,False,2,0,0,0,,True,"Thank you for sharing your positive experience at the hospital, this is the motivation for us to continue to strive to bring you better and better service quality. Hoan My Binh Duong Hospital would like to thank you"
Thiet Doan,N/A,,"My wife gave birth in the maternity ward and was discharged today. My impression is quite good. The service is attentive, the hospital is clean, and the doctors and nurses are dedicated.",Google,False,3,0,0,0,,True,Thank you for sharing your positive experience at the hospital. This is the motivation for us to continue to strive to bring you better and better service quality. Hoan My Binh Duong Hospital would like to thank you.
