Author,Date,Rating,ReviewText,ReviewSource,IsLocalGuide,Review Count,PhotosCount,Likes,PhotoCount),PhotoURLs,HasOwnerResponse,OwnerResponse
Alena Kasenchuk,N/A,,"This hospital is truly impressed me. The staff was incredibly friendly and helpful throughout every visit. They have all the latest equipment, including MRIs and ultrasounds, available for tests and procedures. Their prices are very reasonable compared to other hospitals I've been to.  Highly recommend!",Google,False,8,5,0,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90Biqd6s-bXLtVSK92c0G0VaOTZLrBbn3f0uywtjE8FLrtlvw4j4mOARVxGomkMsrE-hpwmzeALP_ZfOJu-5BFBCIS7WUgtVLtWlnQZkcfLIwY3yYqZGxi95HAWaFGRisg966SJFAQ=w600-h450-p,False,
Allan Kamen,N/A,,This private hospital is centrally located. The service fee is reasonable.  I did not have to wait long to register and see the doctor.  I am happy with the service.,Google,True,15,0,0,0,,False,
Duy Nguyễn Văn,N/A,,Good,Google,False,1,0,0,0,,False,
Lê Hồng MSV 112,N/A,,"The receptionists and doctors are very rude to patients. The service is very poor. If you have a health insurance card, you will receive 80% coverage according to state regulations, but the price is 5-6 times higher. Prescriptions or …",Google,True,4,33,0,0,,False,
hoang nam le,N/A,,"Horrible, the treatment efficiency is poor but the patient's money is too much, the insurance payment is both the insurance and the patient is 500 machines but in fact the surcharge fee is encountered 4 times, looking at the surcharge table …",Google,False,1,0,1,0,,False,
Phụng Thiên,N/A,,"Too bad, unclear advice, price list not listed. Hotline number is not answered, why put it there?",Google,True,25,21,1,0,,False,
tùng phạm,N/A,,"I went to the doctor on Saturday and saw that there were fewer people for medical examination and treatment compared to other hospitals
Staff and doctors are enthusiastic and pleasant
Bv is clean",Google,True,10,37,0,4,"https://lh3.googleusercontent.com/geougc-cs/AB3l90DNfvf6ESjJESzYU2UbQsQGa-0l77me-i1DM5WbP_tXnQr9nzfml7-B1wPQDeDwkoPWOMT2da4HYxHvBbbP-8zbz0MaWIxmMQfQTUdifKMvOOc8rzCZWDDmkEeglGhT1-HE2-B2PQ=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BhlTHCwyAWvTnkcsoFXD7st6gvroTXcstpAMGbnhmEpjHWpkk910aY9py_1rk_RFuqSM8E8GlRGlC8zNRXq0aixDcMjVRp1N3vvRNwI1CQ8XDb8oQ6L4AH9C_VVNMfvDE6Cuo=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BWiGYdWPXO1fBf-qp4n67g6GzAOKAnL8U0BzRlhRzCYqTyCU0smkZ37TRVZaWh4A3F7PmaxqEpmgXBgPedd02n8MAJ0MpHSP_RfXARqWiohDKhiXGI7E_vt8u5_uv1pwhx4QWtCA=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90CN3tPTU01hq-KPVkEGKWvDjMG3C1KF4cGgabXKfaWiuQagXbvo7KkeKcO7n8zXhHTvcQsHsNGhsFMYieObDpIevXcj1-zbmTbcQAaG3HxZWGRq86oD_ITAjXScRS71e_DB2yWa=w300-h225-p",False,
anh lê,N/A,,"I don't know how everyone else gets their teeth checked, but I went to get my teeth done and the doctor didn't respect the patient who came to get them checked. While I was filling my tooth, the doctor was joking around with his hand in his …",Google,False,1,0,1,0,,False,
thy le,N/A,,"I had a general check-up and had my blood drawn. I went to the hospital for a general check-up. I arrived at 3:30 pm. The staff asked me as if they didn't want to see anyone. They asked me in a nonchalant manner, ""What are you doing here at …",Google,False,4,5,1,0,,False,
HNhư NN,N/A,,"My grandmother had back pain. At first, the pain was normal and she could go up and down to cook normally. Since the day she went to the hospital for acupuncture, why has she been lying in one place all the time? My grandmother said that …",Google,False,3,0,1,0,,False,
