Author,Date,Rating,ReviewText,ReviewSource,IsLocalGuide,Review Count,PhotosCount,Likes,PhotoCount),PhotoURLs,HasOwnerResponse,OwnerResponse
hoang diep,N/A,,Ok ok,Google,False,10,0,0,0,,True,"Thank you for coming to health care at MPH. To update medical service information, please follow the Hospital's official fanpage: https://www.facebook.com/benhvienmyphuoc/ … More"
Hậu Huỳnh,N/A,,Good !,Google,True,19,0,1,0,,False,
nhìn Gì,N/A,,I.,Google,False,1,0,1,0,,False,
Duy Nguyễn,N/A,,Good.,Google,True,113,0,1,0,,False,
Ngô Đình Hiếu (HY-77),N/A,,Ok,Google,True,342,226,1,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90AflvgMLV1emoaPGr7r9Z1IYTd9_TdIdlQuE8VJafeUVeFjz9CT4xwNprCExWgUnasK_4bys0zZvXWPV86Ofjnj7ES4LCuG7q2_iGq3EPCeDESfJhuPT9GdMozrXofqaepBE0FMqA=w600-h450-p,False,
Nam Hoàng,N/A,,Normal,Google,True,94,170,1,0,,False,
Josh L,N/A,,Good infrastructure.,Google,True,9,10,1,0,,False,
Minhductzuong Kimhoo,N/A,,The hospital,Google,True,111,51,1,0,,False,
Quần Què Hỏi,N/A,,"Not worth 1 star.
The counter staff is grumpy, frowning, squinting their eyes and noses while talking to patients. …",Google,False,3,12,0,0,,False,
Trinh Trần,N/A,,"The hospital should review its operations. The work is very slow, patients have to wait outside for a long time. People who have their blood tested have not eaten breakfast from 6am to almost 10am. But it is still not their turn while the status is 23. I see many people complaining but there is still no improvement.",Google,False,6,4,0,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90DGr9NaPlOj2DDzkk-QnO0CmA6vX7kkgNQ4ObwyEdS15oQw4lXvY-kBQX61swLzCawcMKQCLJ6u0EpDU9YYzEEOR6H8-A0pQo6HFVHrkk-ocpdgvPSDIPjFsq1bZ2VhCSK8WO2TrkJzAuY=w600-h450-p,False,
Huyen Thach thi,N/A,,"The hospital is not worth 1 star. The person who came first did not get a number called. The person who came later called first. Had to wait for 2 hours. In 2020, my husband had a hemangioma. I went to My Phuoc hospital and asked if the …",Google,False,2,1,0,0,,False,
KLT Thảo 1E1K,N/A,,"I'm afraid I won't go anymore, I got the medicine paper but I was given the wrong type. I went for an oral rectal endoscopy, so I took the anal enema to go home and then went back for an endoscopy. But I was given the paper to get the oral …",Google,False,2,1,0,0,,False,
Thuat Pham,N/A,,"Nice glasses, careful examination, good service, quality, reasonable price, very satisfied with Mk Benh Ven",Google,True,207,587,0,4,"https://lh3.googleusercontent.com/geougc-cs/AB3l90CdMFL4riyRn-2bLy8YI1FrPoc3CpVdyG0qkK7PYNcwdyFrhiSwE8ydrK0-KsA-SZXTzs6Fm07Np0TN9TenEg8wkEa-9RVTFyTBrtGo7T__8pVVIWBavYqIT84kom9t4hwmnOtq=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90AKyk26C9D7kRi1qy4JBz1EV0izP_wcvc_QvFmfwpcnh3UOTD5QmBwGxQ6_tfBXvQqTOBEyVq_cZ4I1VmteMM4OqQoxCx7z2goy_nbmNcgoOFYggebxNqr2z2mZc7T-rNX9apaV=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90A3OJa93sJuHFHFPAZO0GWqCrunEstCmKTjInLD83DW6jp2PQ8NILS2oapQ1sZYYDY_ul4AacpzuvsTg7Yzlw__w52QPfncGiByxzxb-8mR7mK1kwmrLhs0_YNz2DIUcEwYIZBf=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90B4-FItqI0nS6VogpSHhg27w5o_8XSvpZ15tknhmGcSZWUVslROijRdw4H3v5_2txR5-yMutWl8GPUHiSTPTuY29kbLeo_2DqeSP9ZH1qcosa1lb2lgPMX1F5BQ-mw2pnycZJBacA=w300-h225-p",False,
Quốc Phong Nguyễn,N/A,,"If you have pain in your foot, you should go see a doctor and tell him it could be a fracture or a sprain from exercising. The doctor diagnosed you with gout and prescribed medication and asked you to come back in a week for a test. The …",Google,False,11,2,0,0,,False,
Thanh Nhật,N/A,,Health insurance examinations at hospitals allow some medical examinations and medications to be separated from the insurance coverage list to collect service fees. While these items are all fully covered by insurance. …,Google,True,50,34,0,0,,False,
Dii,N/A,,"The doctor operated on the patient's hemorrhoids but it was still painful. After 3 days, the doctor sent the patient home still bleeding and in pain. The pain was so bad that I went to the emergency room and told the other doctor to do …",Google,True,7,19,0,0,,False,
