Author,Date,Rating,ReviewText,ReviewSource,IsLocalGuide,Review Count,PhotosCount,Likes,PhotoCount),PhotoURLs,HasOwnerResponse,OwnerResponse
21-01-79 nguyễn bá nguyên,N/A,,Ok,Google,False,1,0,0,0,,False,
Minhphu Tran,N/A,,good,Google,True,162,76,1,0,,False,
An Phuc Thien,N/A,,Ok!,Google,False,272,95,2,0,,False,
Phú Võ,N/A,,Ok,Google,True,71,30,0,0,,False,
như ý 312 Nguyễn,N/A,,Ok,Google,True,12,13,0,0,,False,
Mạnh Cường,N/A,,ok,Google,False,233,839,0,0,,False,
Lien Nguyen,N/A,,"Just had a prenatal checkup here, but the doctor was enthusiastic and cheerful, gave thorough advice, friendly, and the space is airy and clean.",Google,False,4,1,0,0,,True,Thank you for trusting and using our services.
Hong Ma,N/A,,"I've been examined here twice. The first time, I didn't know how to go in because the second hospital was too crowded. The next time I went on Wednesday, the hospital was absent, so the examination was very quick. The doctor gave enthusiastic advice. The hospital is small and spacious inside.",Google,False,2,5,0,0,,True,Thank you for trusting and using our services.
Như Ngọc Phan Thị,N/A,,My sister had unbearable abdominal pain during her period and needed to go to the emergency room. The doctor said that there was no one to do the ultrasound at night and told her to come back in the morning to do the ultrasound. I wondered why the maternity hospital didn't have anyone to do the ultrasound 24/7. I don't understand.,Google,False,5,2,0,0,,False,
Thành Lương,N/A,,"Bad, shady hospital, high fees, inconsistent service quality, all kinds of tests, inexperienced doctors, poor diagnosis, I advise everyone not to come here for medical examination and treatment.",Google,False,1,0,0,0,,False,
huy nguyen,N/A,,"Doctors and staff are very enthusiastic
But the cramped parking area made it difficult to get the car out. I asked the parking attendant to bring the car up from the basement but was scolded for all …",Google,False,2,0,0,0,,True,"Thank you for trusting and using the service, we have noted your contribution and will correct it, thank you."
