Author,Date,Rating,ReviewText,ReviewSource,IsLocalGuide,Review Count,PhotosCount,Likes,PhotoCount),PhotoURLs,HasOwnerResponse,OwnerResponse
Klaus R.V. N,N/A,,"I was here when I was a kid.
The service was not good",Google,True,188,0,0,0,,False,
Nguyen Thanh Tuyen,N/A,,ok,Google,True,18,17,0,0,,False,
Phúc Hoàng Kim,N/A,,good,Google,False,11,4,1,0,,False,
NguyenSondigital NguyenSondigital,N/A,,Ok.,Google,True,128,976,0,0,,False,
Ngô Ngọc Đức,N/A,,Good,Google,True,104,131,1,0,,False,
Hoang Long,N/A,,ok,Google,False,158,7,0,0,,False,
Và Biển TV Ty,N/A,,Ok,Google,False,1,0,1,0,,False,
Ys Thang,N/A,,"Go for a medical examination for work, the examination is quick, almost for show, formality. It takes about 1 hour to finish, but waiting for the stamp and signing of the paper takes another hour :))",Google,True,6,1,0,0,,False,
Nguyễn Trang,N/A,,"The doctor examined carelessly, not informing the patient what was wrong? To what extent?
The nurse was like a mother of the world, scolding the patient, the patient …",Google,False,2,0,0,0,,False,
Thao Le,N/A,,"TO THE DIRECTOR OF THUAN AN MULTI-PARK HOSPITAL
Hopefully the hospital director will see the comments and reviews sent to the hospital by the people. The doctors, nurses, and staff here need to learn more …",Google,False,1,0,0,0,,False,
兰安陈氏,N/A,,"You should not get a medical examination here, each person has a different style, they force you to buy a new paper and edit it back and forth. They also wait for the stamp to be stamped for more than 2 hours.",Google,False,11,1,0,0,,False,
Tan Huynh,N/A,,Waiting for a long time to get the stamp is better than never coming back...doctor's attitude is not wanting to answer,Google,False,5,0,0,0,,False,
Xuân Lê,N/A,,"I don't like the doctors at this clinic. If there is a doctor, I ask. I talk to them and they show an attitude that I hate. It's like I don't understand or know what to say. It's like I only listen but don't have the right to speak... …",Google,False,1,0,0,0,,False,
Hảo Nguyễn,N/A,,"The attitude of the doctors and nurses in the emergency department is very rude to adults. People are lying there in pain but they are still very carefree, extremely unprofessional, working very haphazardly, waiting for people to die before saving them?",Google,False,1,0,0,0,,False,
Lộc Nguyễn,N/A,,"The doctor talked to the patient in heaven, they couldn't hear clearly, if they needed to explain again, they asked him to say it again, if they needed to ask the family's opinion, they asked him not to accept the surgery, the patient's child had the surgery without medicine, if they asked, he replied.",Google,False,1,0,0,0,,False,
Hoang Tan Truong,N/A,,"It's terrible, it only takes 50 minutes to print out a piece of paper for the patient to have a test done. When asked, the machine is slow. After getting the test results, waiting for a prescription is more than 50 minutes. I only went to …",Google,False,1,0,0,0,,False,
Trân Huyền,N/A,,"I don't understand what the awareness of the doctors and nurses here is like. If you're sick and ask the doctor to come in to examine you, the doctor tells you to lie down and wait for an hour, but still no one comes in to examine you? The …",Google,False,1,0,0,0,,False,
Huyền Trân Đinh,N/A,,"At 1:00 a.m., I stopped by to buy medicine. The female staff at the pharmacy counter has a very disrespectful attitude toward customers. If you buy 1 dose of medicine that is not for sale, you must buy 2 or more doses before selling it. …",Google,False,1,1,4,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90CAH8bceSuFfHIIVoh70J4KZNIh2QVf-zlT7rM_8vYtr6eb35L8-upgYvo9LSPK7sUcOooWQsBBYH8aB47xEsy_IOtWiGHj56L6W_YCK7f21XMQONRtYqoAojT8WhBuDxB8z7A=w600-h450-p,False,
Duyên Cao Kiều,N/A,,"Profession: yes
Attitude: not good, pushing, blaming each other, in the emergency room, nurses have attitudes and discriminate against patients (November 31, 2023). …",Google,False,3,3,5,3,"https://lh3.googleusercontent.com/geougc-cs/AB3l90DrQCw8OWeCXnsyowuK16IBsJLl4F6kBC02MLjI4nye0yH8uoFkcBItjATtrr13jHVIUA9Alpjpahi9iJzXJ4n86Hjw0s4rGGhePzX3FJUKrarWZFTbXrwJ7juOUTWG355qKhaafw=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90B0dFwp9D4COZUxCVQolGBOaJbhQRi4SGEVLAlDJxxj6xM4AT2yqsI7TbZho35zVu-QU-0o7wlVYlUKURHqTlxkbPoUvVbNw311nVcgVXh6-NXjm61YFTuEgETdzin8C2laDmk=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90C6Bkh8-fJ4FlXhacY_iEgzT9HCGNVrCzoGt4dmkb8DCAIRpvMvOQp5MtpM94IbF6L1DU8RGDSs1lk1SXka_E7OwAYVAbiL8Lh0AfC8aIsQr1R-6pomyf1kdN0gBukW6X6ZgtVnFA=w300-h225-p",False,
Da Thach,N/A,,"The hospital took an x-ray and the other factor was 100. I didn't have money so I gave the doctor a 500 bill. In the morning, it was late after work. In the morning, it took me a long time to tell the doctor why it took me so long. He said, …",Google,False,1,0,0,0,,False,
tuyen truong,N/A,,"Extremely bad. The staff at the reception desk and the cashier counter have extremely bad attitudes towards patients, including the elderly. Arrogant, often scolding and ignoring patients. Patients stand outside waiting, while those inside …",Google,False,2,0,0,0,,False,
Sale bds Thiên,N/A,,The female doctor talked very smoothly and talked like a mother of heaven. I will never come back again.,Google,False,2,2,0,0,,False,
Phước Lộc Lê,N/A,,"The hospital stay was perfect, the hospital was safe, the doctor examined me enthusiastically, was cheerful, gave very good medicine, I turned around and introduced my family.",Google,False,1,0,0,0,,False,
2102_Trần Thị Tố Uyên,N/A,,"The attitude of the staff is absolutely terrible. I didn't go to get the medicine but just waited for the signed papers at the counter. The ""cute"" staff at window 3 made me wait for more than an hour. When I asked, they defended themselves …",Google,False,5,2,1,0,,False,
Kamui Yamada,N/A,,"There were no patients but they waited for nearly 1 hour to get a prescription. The doctor told them that they were short of medicine and asked them to buy more, but they sold each Ridlor pill (clopidogrel 75mg) for 7500 VND per pill while …",Google,False,2,1,0,0,,False,
chinh Kim,N/A,,"The hospital is irresponsible. Today, when my nephew went for a health check, he forgot his file containing important documents. The staff in charge of registration saw who took it by mistake, but when he asked the director to check the …",Google,False,2,0,0,0,,False,
Trang Tranh,N/A,,Going to the doctor all day waiting for papers and medicine. Hospital work is so boring.,Google,False,1,0,0,0,,False,
Ha Ta,N/A,,"When there is a patient, there is a doctor. When there is a disease, there is a doctor. When talking, there is anger, when answering, there is an attitude, no enthusiasm, no guidance. Very Bad",Google,False,3,1,1,0,,False,
Kheo Tỳ,N/A,,"Should not go in.

People have pain and the doctor can't find out. They have to have surgery.",Google,False,1,0,0,0,,False,
ngan luu,N/A,,"The hospital is spacious and clean, has renovated equipment, dedicated and attentive service staff, and a team of experienced doctors and nurses.",Google,False,1,0,0,0,,False,
