Author,Date,Rating,ReviewText,ReviewSource,IsLocalGuide,Review Count,PhotosCount,Likes,PhotoCount),PhotoURLs,HasOwnerResponse,OwnerResponse
Xing He,N/A,,"1.1M to get your PCR test done within 8 hours. China approved, can be used for travelling to China.
Walk in, no appointment needed.",Google,False,11,13,0,0,,False,
Nguyen Huy,N/A,,"Bad service... But the best price.
The doctors, nurses here are so unpleasure and grumpy.
The time is so long to resolve for patients.",Google,False,8,1,0,0,,False,
Duong Nguyen Thai,N/A,,Good service quality!,Google,True,58,158,1,4,"https://lh3.googleusercontent.com/geougc-cs/AB3l90APa9YkN4VkEnyHjTtfpHiipkWESPqEVJk26KZcZHuvP9r1QSvU-h4MjFtBdVuK7Cjhb3e0kBXUN9AQ8xrABig803GiVp9eY6leR1xbIwadDqL9mvMAkX08-PAwyKmlYCxrlEDG2A=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90DDkHMZ6Wre4nSaMlFopv3GcKWhp6SQ8kVEFZOUos4GWafcXbeTwqFaKp3p7XqR0e7gaU53gUI3qvpYRRKsbCHaVFAd-Bp-jwvJLOI5Clhzr0QTizHfJs5YJ7oJBbf2moOINF8=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BbvS1wHrQ-KH2X_5a3ZmWFN2c6P2AqJIPTBIbgENH_MYZm_zqFU9zgeZfoaKoLhGWM8A3Di-F6K8_tRyFoHhhZmcnb6AJyPYvPgQRWJG_Xf1wX4Ya-CMIz7HEHL9YQi9Oa-XUR=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90DFcmM86Y0Ea3yIaePJJNlPjeoiXYYFMiMJexCT8Se9eJSsIuzgUwCsQDQ1rbQzNORZfehvjVW-CcJe4Nq9Oj7NIpuUMQBZH7F6yaMqNxxtdseuSn_XHCuCqX61G-dDqQUEpzUH=w300-h225-p",False,
ShiNy Khang,N/A,,Ok 👌 …,Google,False,6,4,0,0,,False,
Phuong Nguyenhoang,N/A,,Good,Google,False,1,5,0,0,,False,
Thanh Sơn Lê,N/A,,OK,Google,True,112,0,0,0,,False,
Nguyễn Ngọc,N/A,,Ok,Google,True,4,19,0,0,,False,
Duy Vũ,N/A,,"The hospital is spacious, airy and clean. Doctors, nurses, staff... professional, dressed neatly, clean and beautiful",Google,False,2,3,1,3,"https://lh3.googleusercontent.com/geougc-cs/AB3l90CON8_VA4Yl7Wz3cNjkyIIT6BuGWfBGh9hGWogFX80NvB13AA5pUpH3e3SHUeeMdQt0eKzcHQcOnDg5DfXcx9s3l8Sg5NCVOLpIXb20Jym-ITXkxRxom-7rqYSpf-bB7LC1MHHY=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BfBzRy51H_QBYf2xL-1yMBunjIKJpM5VGgCeXRR_EYwsCw-Mt75vD8MJMfTLjBI98ITMBDodzpp9LNhhx05GLpK_BwvnVBnlzyIjHngAWRDMJLx3VHOZo31TLZYkL2ma5TPZskCA=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90C7054KWWloeLu-5qF5ACKHsQpJh261OjoRk37L8gGNpe5qnzPkwG7nHgnKBo-RdG11GhJNCQ9KW--Is3eq78X08vucx6aodMS8Yrfe737yt1Nrc-62EwVq45229k5sAQsIYWOL=w300-h225-p",True,Thuan My Binh Duong Hospital would like to thank you for sharing. Wishing you good health and happiness!
Giap Ha,N/A,,"Last week, I was sick with a fever and couldn't eat. I had to be hospitalized for treatment. The doctors and nurses took good care of me and have now recovered. Thank you to the internal medicine and hospital staff.",Google,False,2,1,1,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90CazUvD12yx2rOMJpubhj3GDlGeuksz8GMofUzAYflzcJV_XSDiFuq3pLZzGTCJ3U27ACK0egAWZwOzCQCIXzmt-AfsI0pJEG175-hKNevN8v3kQHUsZxezoe-0s-Qy04SSFuUe=w600-h450-p,True,Thuan My Binh Duong Hospital would like to thank you for your trust and companionship. Wishing you good health and happiness!
Đặng Quốc Bảo,N/A,,I have hepatitis B and diabetes. The doctor examined me and forgot to prescribe diabetes medicine. …,Google,True,6,0,0,0,,False,
Anhlan Le,N/A,,"This hospital is very good, clean, airy, enthusiastic and lovely doctors and nurses, especially obstetrician Dr. An.",Google,False,1,1,0,0,,False,
Duyen Vuthi,N/A,,"I just had a cesarean section at the hospital. I am really satisfied with the hospital's services. The doctors and nurses are very gentle, enthusiastic and cheerful. Just press the bell and the nurse will be there and support immediately. Even the photography and filming service is very enthusiastic and reputable.",Google,False,2,0,0,0,,False,
Giàu Lê,N/A,,"I have pain in my knee joints, I can't walk, my hips are steady, my knee joints are making creaking noises. I went to the doctor and got treatment advice. After 1 month of treatment, I can walk more steadily, my knee joints are less painful and I can walk more comfortably.",Google,False,1,2,1,0,,True,Thuan My Binh Duong Hospital is very happy to receive comments from you. Thank you for trusting in choosing the hospital as your health care destination. Wishing you good health and happiness!
Thông Văn,N/A,,"I just gave birth here. The room is clean, the doctor is enthusiastic and caring. My family thanks the doctor and the nurses for helping my family have a safe and healthy mother and child.",Google,False,2,0,0,0,,False,
Machiko Sakamoto,N/A,,"Hospitals make people money.
Any examination requires a blood test. The patient acted as if everyone had enough money to take the blood test. Binh Duong doesn't have any hospitals that can …",Google,False,5,4,1,0,,True,"Thuan My Binh Duong Hospital regrets your unsatisfactory experience. Depending on the disease condition, blood tests, x-rays, etc. are one of the necessary steps to determine the cause of the symptoms. Therefore, the hospital hopes that … More"
trân anh,N/A,,"Waiting for a long time, the doctor at the nasopharyngology clinic is slow, and the maxillofacial clinic is like a market, so tiring, I brought my family member to the clinic but wanted to go to the emergency room to have the same examination, the expertise is ok, the price is a bit high, but the working style is really boring.",Google,False,2,0,0,0,,False,
Steve Phan,N/A,,"No matter what hospital you have, no matter what illness you have, you'll be sent for a blood test. 1 test 750k. The kid's fever and blood tests were examined and everything was ok. Going to a dermatologist also requires blood tests. No …",Google,True,21,35,0,0,,True,"Thuan My Binh Duong Hospital regrets your unsatisfactory experience. We have taken note of the feedback. However, blood tests during dermatological examinations will help doctors accurately diagnose the disease the patient is experiencing. … More"
Nhu Quynh,N/A,,"The hospital works well, the staff/doctors' attitudes are friendly",Google,False,1,1,0,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90D85YnMse0WrhjWaXDZnWKGYEDyBtpv3JjSSrjYvR-C6Pq03AatXTKNoTQc2DMcMfObZlczzVvIaMk409lvknLDdt7-8uSnwMVNWDDzdgWi65pPLcJBREfW8LxekWbV8rGxr3DM=w600-h450-p,True,Thuan My Binh Duong Hospital would like to thank you for your trust and companionship. Wishing you good health and happiness!
Duy Nguyễn,N/A,,"The hospital seems normal, but the cost is high, the insurance in the documents is 80%, but the simple calculation is 400k for a bed per day, but they deducted the insurance and it's more than 200k🤣, when asked, they said they charged …",Google,False,1,0,0,0,,False,
7A10 Dương Trần Bình An,N/A,,"If you have health insurance, please do not come here for medical examination and treatment.  Hospital just wants to extort money from patients. I don't want insurance.  Going in for a check-up will make the whole service run smoothly. Then …",Google,False,2,0,0,0,,False,
dien duong,N/A,,The hospital mainly tries to extort money from the patient.  People have headaches when they go to the doctor and say there is no medical treatment. That starts with patients having a general check-up service and paying 1 million and a half million. So what is the benefit of going to health insurance at this hospital?,Google,False,2,0,0,0,,False,
Đình Thi Nguyễn,N/A,,"Let me ask. My baby was born 2 days ago and just discharged from the hospital, but he has not been vaccinated with the VGB serum. Does your hospital vaccinate him?",Google,False,3,0,0,0,,False,
Thúy Vân,N/A,,I don't know about other departments. But I feel very ok about the obstetrics department. The doctors and nurses take care of the mother and baby very attentively. I give 5⭐️,Google,False,1,0,0,0,,False,
Tuấn Nguyễn,N/A,,"The hospital is airy, the physical therapy treatment area is spacious. I sit and work a lot and have neck and shoulder pain. After 1 week of treatment at the physical therapy department, I feel much less pain. I have insurance so the treatment cost is very cheap.",Google,False,1,0,1,0,,False,
Hảo Mỹ,N/A,,"I am very satisfied with the hospital's services. Doctors and nurses are very enthusiastic, happy and dedicated",Google,False,1,0,0,0,,False,
Mai Linh,N/A,,"I had back pain. I was introduced to a physical therapy clinic at Van Phuc II Hospital by someone in my neighborhood who was treating back pain and neck pain. After coming for a checkup and 7 days of treatment according to the doctor, I …",Google,False,1,0,0,0,,False,
Hằng Thúy,N/A,,"The doctor examines diligently and thoughtfully, and the staff is cheerful and enthusiastic with patients. The cost of treatment at the Department of Traditional Medicine and Rehabilitation is suitable for the family's economic conditions, the treatment results are very ok.",Google,False,1,0,0,0,,False,
Phát Nguyễn,N/A,,"The doctor is very dedicated, enthusiastic in taking care of patients, attentive in asking questions... the nurse is quick, dynamic, cheerful... Very satisfied",Google,False,1,0,0,0,,False,
Minh quang Nguyen,N/A,,"If you have a cold, sore throat, or headache, go to the cashier and ask for a general examination. If you don't agree, go to the doctor and ask for a blood test and head x-ray. If you don't agree, say this and that, and medicine for the stomach and esophagus. Say goodbye.",Google,False,2,0,1,0,,False,
Nhan Nguyen,N/A,,"Treating patients with unpleasant attitude. Going to the doctor is tiring, and getting sick is even more annoying. I advise everyone to go somewhere else.",Google,False,1,1,1,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90C2ug7B0mnBNdZwCNaSxZKi2TM7B_j2hM4NYSc4Q8TvxL6Jp6rxFKaoeQJHtf5ykQVfMJ2IHvMywC1I1-DuYxu7xSzB2gwTSWTBlaFPUy79IW3JqM38ABdwRlUFVexNGRGr8rfO=w600-h450-p,False,
Huyền Nguyễn,N/A,,The hospital has highly specialized doctors and dedicated and thoughtful nurses. Always create a feeling of comfort for sick people,Google,False,2,0,0,0,,False,
Luya Nguyễn Thị,N/A,,I am a patient undergoing physical therapy at Van Phuc Hospital. I feel that the staff here do a very good job and are dedicated to the patients. I know very well and sincerely thank the doctors and staff at the Department of Medicine and Rehabilitation. Please rate the department 5 stars.,Google,False,1,0,0,0,,False,
