Author,Date,Rating,ReviewText,ReviewSource,IsLocalGuide,Review Count,PhotosCount,Likes,PhotoCount),PhotoURLs,HasOwnerResponse,OwnerResponse
Thượng Đỗ,,,very good,Google,False,5,0,0,0,,False,
Nương Trần Kiều,,,Ok,Google,False,1,0,0,0,,False,
Đạt phanvan,,,Ok,Google,False,1,0,0,0,,False,
Ông Thái Lan,,,"The worst hospital you need to know, even local people don't come here !",Google,True,92,129,1,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90D1W6t5kPfTxZs31NUBaAudhZNHLnLWVsKTFYB4JP5CG8jlQv00a_rPLnCKiGczkeNyg5RF0zXgCOvBdd6iNCqZAsK0iw431485PvdR303BJR9EfaSZwXLQz7SFZU1ds9tS-YB1=w600-h450-p,False,
Qui Văn,,,Ok,Google,False,1,0,0,0,,False,
Đình Tâm,,,ok,Google,False,1,7,0,0,,False,
nguyen tran,,,Ok,Google,False,1,2,1,0,,False,
Truong Manh,,,Ok,Google,False,1,0,1,0,,False,
vinh dang,,,Ok,Google,False,1,0,0,0,,False,
Thiên Quân,,,ok,Google,False,1,0,0,0,,False,
Tien Nguyen,,,Ok,Google,False,1,0,0,0,,False,
Thị Mỹ Tiên Võ,,,Ok,Google,False,1,0,0,0,,False,
Kim Anh,,,Ok,Google,False,1,0,0,0,,False,
Lien Tran Thi,,,Ok,Google,False,1,0,0,0,,False,
Tam Dang,,,Ok,Google,False,1,0,0,0,,False,
Trường Danh,,,Ok,Google,False,1,0,0,0,,False,
Hồng Thu,,,Ok,Google,False,1,0,0,0,,False,
Ngọc Minh Nguyễn Thanh,,,It good i want to go again,Google,False,1,0,1,0,,False,
Thiện Pham,,,OK,Google,False,1,0,0,0,,False,
Ửng Phạm,,,Ok,Google,False,1,0,0,0,,False,
Duong Vu,,,Ok,Google,False,4,0,1,0,,False,
Truong Vinh,,,Ok,Google,False,369,0,3,0,,False,
Tư Tương,,,"I have had a cough that hasn't gone away for more than a month. Now when I go to the hospital for a check-up, the hospital's approach is very unprofessional:
1/ The parking lot is small and very cramped. …",Google,False,1,3,4,3,"https://lh3.googleusercontent.com/geougc-cs/AB3l90AQngKbBb4uX9n9XA0wA-O0nxiQNN1HBSwcbKH465jT9-_tSB-Z28NNRXeXZ54TexGOc-ASXZ4bOyw7wnV1p4fVicD01QdZ0OLsl2-dzkXPUzzOLSpb3z4shNtLVzOIsdeGek21Zw=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90API01cl2nrXuC1ZTVh68LpUePWkfFNxUqPA841qjc_9elgHpbVdFvTareeu7ApA801n9ptqhBmC7PgNgq0R_IT7iTaDL7oip8XZUge45fO7jPbq5Lj4jYvmPF6MGPeydhID7lX=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90DAd1YUhXdgZj8PVBF_MPbIBpyYCWN0z-LTRA0_JfcrcamMTFGtfKhZwwfmmUnKEoxw9XjcB7uKh4qVj8rzQQ5Gnhylv_k9STkD6zPpL8d3TB12DZ0kYkbIMNtlhxuFFtNxAv25yw=w300-h225-p",False,
tronghieu le,,,"Waiting too long to see a doctor. There are few patients but the examination takes too long. There are 2-3 ultrasound rooms but only 1 room, so many people are waiting.",Google,False,2,2,0,0,,False,
Tuyết Linh,,,"Poor service quality, long time to receive documents, delays make relatives and patients upset and angry, poor service attitude of staff, no respect for patients, when asked questions, they get angry and upset. Went to the clinic from 10am, …",Google,False,2,4,0,0,,False,
Trung Hiếu Tạ Lê,,,"I would like to express my deepest compliments to the entire team of doctors and staff at An Phu General Hospital - where I had a most satisfying medical examination and treatment experience. From the moment I stepped into the hospital, I …",Google,False,1,0,2,0,,False,
陈金翘,,,"My grandmother's health was getting better, she listened to the neighbors and went to this hospital for a check-up. Her health was clearly getting worse, worse than before. The doctor only said negative things to the patient, not to soften …",Google,False,3,6,0,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90Cufg6Im4wL9cIgbpZrOXPTiGLdU39P8PBoYcEH0h3p9xY25XTPYx1yNx0hD3QMlzZHmjUtVj0liLnH0wnBAMARjMS8H0Ruaz2JLpuj1lntZ7LDpJOW3LIuTTuM0JOHo0WF628=w600-h450-p,False,
Thùy Trang Nguyễn Thị,,,"April 22, my family member had a stomach ache and was in the emergency department recovering, waiting for the family to come and complete the procedure (advance hospital fees) before starting the ultrasound test. When I asked the reason for …",Google,False,5,1,0,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90BvyMlJeEknzNzdLOWFB5xPFWst0fsLnN4UODfpieDS8T5fhcsVLjXTH1tx38ACjMfkz_2FYC2zzrJ7MGVGa9SI4xrlyGF-bWzq9qgRjSIS5Fs6HRanrdXV8-85CyYRoKkCJFqMng=w600-h450-p,False,
hyin woo,,,"The pediatricians are very gentle and caring. Just ring the bell and they will help you in less than 20 seconds. Although the cost is high and the monitoring time is long, it is worth it if the baby is healthy.",Google,False,1,0,0,0,,False,
Vi Thuy,,,"I won't mention the attitude of the doctors and nurses! The attitude of the security guard was too ""arrogant"". When asked to help take the car out, he looked at the customer once and then turned away. I asked very clearly ""uncle, can you …",Google,False,1,0,0,0,,False,
Long Lê,,,"At the blood draw place, there was a lady who had her blood drawn and was bruised for almost a week.
Your blood vessels are that big and you can't even get them drawn.",Google,False,2,2,0,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90BENE--QDQhDDy5UKw1Hg1solmBICB--VDNC9zq-cmqIqEUxkWHfPXzDAxbW0KJfwMChy-CjYvloYa9ofMVcA39BJVwLJSyWMAHrp5t7qUlj7UJNueHo4SANqcxgwP2up3WXSiO385vqgIR=w600-h450-p,False,
Xuân Nương Tạ,,,"Highly qualified doctors, enthusiastic staff, diverse clinic with many modern equipment. 10 points for this place🤗🤗 …",Google,False,1,0,0,0,,False,
Linh Tran Vu,,,"Honestly, it's more expensive than the city hospital. They take all the medicine that's not covered by insurance. They test continuously for only 2 days and have to spend 3.2 million. It's really scary. It's just intestinal inflammation. If it's more serious, be careful. It might take 2 days and 48 hours.",Google,False,1,0,0,0,,False,
Thinh Nguyen,,,"Very good health care service, modern equipment, highly qualified medical staff. Dedicated customer care.",Google,False,1,0,0,0,,False,
Thanh Nam,,,"There are many patients waiting to get medicine, but there is only one hospital staff member to dispense medicine. I've been waiting for nearly 40 minutes and it's still not my turn. I hope the hospital director will pay attention and arrange personnel accordingly.",Google,True,24,52,2,0,,False,
Khoa Nguyen,,,The hospital has insurance. But the bed surcharge is too high. The obstetric nurse injected the wrong medicine. Many problems. Should consider carefully before going down.,Google,False,1,1,0,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90BUGqli65P4gXi1o5XLEZhxiAXcWK_iq4mWQrHUJ_Q5L4a8IjFtTdg7Gi3AwTLBIYDMnyKr3q9ioU5w-OiPDanrnFPFFhyWWHITPMVs3T_5e4OrLQ-MQD-9Hu3ocICjYp_QV__VrA=w600-h450-p,False,
Giang Phong,,,I had to go to the doctor to get medicine. I was told to go to the 2nd floor. Then I was told to go to the 1st floor. Then I was told to go to the 2nd floor. Then I was told I ran out of medicine. Then I was told to go to the 1st floor. So tired.,Google,False,1,0,0,0,,False,
Sang,,,"Now the company has experienced health check-up, service is attentive and thorough, I am very satisfied.",Google,False,1,0,0,0,,False,
Mỹ Linh Trần Thị,,,"The hospital is like that, people who came first don't examine people who came later. They asked to take a sample, then went for an ultrasound, then they were late for the blood test, they asked to give the paper back, if they don't have it, what the hell are you doing to get a blood test?",Google,False,1,0,0,0,,False,
Phước Pro,,,"The service is good but when it comes to receiving the medicine, it's haunting. There's only one pharmacist in the whole hospital.",Google,False,2,1,1,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90BP_eWvkFfK-86c0SGJad5N8HG0Sa1eZSooAiHlid7hxon6_NiT48GEsTNzesKUyBKYypIk_D77BesZc3_2-GKwC-GTi_mCE39kCURhzum69d_B794f0syNOCvl73Krs-qEol0e=w600-h450-p,False,
Trinh Vo,,,"I just gave birth to a baby here and was discharged from the hospital yesterday. Thank you so much to Dr. An and the obstetrics team, everyone is so cute. Dr. An is so good and funny, I give you 10 stars 🥰 …",Google,False,1,0,0,0,,False,
NamToji,,,"The hospital has insurance but it's too expensive. My child under 6 years old with insurance was hospitalized for pneumonia for 5 days and spent 3,039,500 VND. But he still hasn't recovered. The doctor said that it's better to use herbal …",Google,False,1,0,0,0,,False,
Tiến Dương,,,"Dedicated service, polite medical staff",Google,False,1,1,0,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90CZAj3iLtcit9K-BudExumft7q32-RcqF3r0PS-btyolRwx4t0dfbxJVnaERZTi7-22DxVrPJKXpKJ7x3cBsm1SSB5heuLCj_J-LuKLmj5onGrKzh_ckODjnp_kglYtyhznEEZebxP1-TY7=w600-h450-p,False,
Tùng Linh,,,"The hospital advised the patient to eat and drink normally after tooth extraction, no pain, but now after returning home, his face is swollen, he can't even eat porridge. The end of the year and the beginning of the new year are so cruel. …",Google,False,1,0,1,0,,False,
Linh Vuthi,,,Doctor is enthusiastic and attentive. Staff is friendly and approachable. Good service.,Google,False,1,0,0,0,,False,
Thái Phạm,,,"Dr. Ngan examines and consults enthusiastically, she is very cute",Google,False,3,6,0,0,,False,
Bách Béo,,,"The doctor was upset. 30 minutes without medicine. Actually, I understand that every hospital is crowded. However, the staff works very slowly. Especially the pharmacy department. Service quality is bad and deserves 1 star.",Google,True,52,7,0,0,,False,
Thái Thị Thu Ba,,,The doctor gave enthusiastic advice. The nurses and consultants were also very good.,Google,False,4,0,0,0,,False,
Buu Nguyen,,,"Why do you charge money for parking? Avoid this hospital, everyone.",Google,False,5,0,0,0,,False,
Béo,,,"Go to the emergency room but have to wait to pay a deposit before being treated, the hospital is crap, just drawing to get money",Google,False,1,0,0,0,,False,
Thithuy Tran,,,"Clean hospital, enthusiastic staff and doctors",Google,False,1,0,0,0,,False,
Lê Nguyễn Nhật Khương,,,"The hospital is quite professional, waiting time is very fast",Google,False,1,0,0,0,,False,
Hồng Lê Thị Phương,,,The ultrasound doctor is good. He talks so sweetly that I die.. the number 1 doctor in obstetrics and gynecology.,Google,False,1,0,0,0,,False,
Hồ Đức,,,"Patients wait for hours to see a doctor. If they don't get examined, they will probably die from waiting.",Google,False,3,0,0,0,,False,
HUY DƯƠNG NÔNG NGHIỆP,,,"The hospital is clean and beautiful. Enthusiastic and thoughtful. Quickly respond to needs and provide timely emergency care.  Fully equipped with medical examination, testing, X-ray equipment... Dedicated and attentive doctors and staff...",Google,True,44,79,2,1,https://lh3.googleusercontent.com/geougc-cs/AB3l90BvtpSRGyGEshkZ19K2XG0SFTlzYstLMLwRfE7Ky5iuimxqQqYMH_YWa2ho2Wxa5keoIqaeprZyxDHoQi8N1EN9EQhTtHK4anTZnhwmCyilqMw54omHq-n3RpaJdOQ4zEGKhDyH=w600-h450-p,False,
bichdieu phan,,,"I didn't dare to go for the second checkup once. When I went for the blood test, I was tired of waiting 2 hours for the ultrasound. Every time I asked the midwives, I felt uncomfortable and grimaced. When I went in for the ultrasound, I …",Google,False,2,1,1,0,,False,
Văn Tuan Tran,,,"Also: Although I rated 5 stars because I was happy for 2 Female staff:
1. Taking blood samples for testing: Had an impolite attitude and instructions.
2. Measuring ECG: Had disrespectful words when instructing elderly patients.",Google,False,1,0,0,0,,False,
Thuý Linh Nguyễn,,,"The service is too bad. I waited from 2pm to 4pm for my turn, the doctor's attitude was very bad (internal medicine department). I waited for more than 2 hours to get a prescription for some pills to take home.",Google,True,41,230,0,0,,False,
Trucloan Vothi,,,"If anyone is about to die and goes to that hospital, they should leave the house to die. No one should go to that hospital. Doctors and nurses just sit and joke on the phone, not just sit and talk.",Google,False,1,0,1,0,,False,
